交互检查规则,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,
分类,,,,,,,,,,,,,
表头,VIP等级,名称,VIP等级,金额,VIP跳过战斗时间,每日体力购买次数,每日许愿次数,道具,道具个数,购买道具原价,购买折扣价,购买次数,描述
关键字标识,Y,,,,,,,,,,,,
唯一标识,Y,,,,,,,,,,,,
非空标识,Y,,,,,,,,,,,,
检查规则,,,,,,,,,,,,,
变量名称,id,name,vipLv,gold,ifFight,hpNum,vowNum,item,itemnum,buyMoney,buyDisMoney,num,des
变量类型,I,S,I,I,I,I,I,E,E,I,I,I,S
变量空间,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs
,,,,,,,,,,,,,
BEGIN,VIP表,vip_data,,,,,,,,,,,
1,0,VIP0,0,0,0,12,5,"(10000,)","(1,)",100,50,1,<ttf color = '#996c33' fontsize=20>1.[累计充值60元宝]</ttf>\n<ttf color = '#996c33' fontsize=20>2.好友上限35个</ttf>\n<ttf color = '#996c33' fontsize=20>3.每天整点挂机次数100次</ttf>\n<ttf color = '#996c33' fontsize=20>4.每周获得275点经验双倍点</ttf>\n<ttf color = '#996c33' fontsize=20>5.拥有领取红包机会4次
1,1,VIP1,1,60,0,13,6,"(10000,)","(2,)",100,50,1,<ttf color = '#996c33' fontsize=20>1.[累计充值60元宝]</ttf>\n<ttf color = '#996c33' fontsize=20>2.好友上限35个</ttf>\n<ttf color = '#996c33' fontsize=20>3.每天整点挂机次数100次</ttf>\n<ttf color = '#996c33' fontsize=20>4.每周获得275点经验双倍点</ttf>\n<ttf color = '#996c33' fontsize=20>5.拥有领取红包机会4次
1,2,VIP2,2,300,0,14,7,"(10000,)","(3,)",100,50,1,<ttf color = '#996c33' fontsize=20>1.[累计充值60元宝]</ttf>\n<ttf color = '#996c33' fontsize=20>2.好友上限35个</ttf>\n<ttf color = '#996c33' fontsize=20>3.每天整点挂机次数100次</ttf>\n<ttf color = '#996c33' fontsize=20>4.每周获得275点经验双倍点</ttf>\n<ttf color = '#996c33' fontsize=20>5.拥有领取红包机会4次
1,3,VIP3,3,1000,0,15,8,"(10000,)","(4,)",100,50,1,<ttf color = '#996c33' fontsize=20>1.[累计充值60元宝]</ttf>\n<ttf color = '#996c33' fontsize=20>2.好友上限35个</ttf>\n<ttf color = '#996c33' fontsize=20>3.每天整点挂机次数100次</ttf>\n<ttf color = '#996c33' fontsize=20>4.每周获得275点经验双倍点</ttf>\n<ttf color = '#996c33' fontsize=20>5.拥有领取红包机会4次
1,4,VIP4,4,2000,0,16,9,"(10000,)","(5,)",100,50,1,<ttf color = '#996c33' fontsize=20>1.[累计充值60元宝]</ttf>\n<ttf color = '#996c33' fontsize=20>2.好友上限35个</ttf>\n<ttf color = '#996c33' fontsize=20>3.每天整点挂机次数100次</ttf>\n<ttf color = '#996c33' fontsize=20>4.每周获得275点经验双倍点</ttf>\n<ttf color = '#996c33' fontsize=20>5.拥有领取红包机会4次
1,5,VIP5,5,5000,0,17,10,"(10000,)","(6,)",100,50,1,<ttf color = '#996c33' fontsize=20>1.[累计充值60元宝]</ttf>\n<ttf color = '#996c33' fontsize=20>2.好友上限35个</ttf>\n<ttf color = '#996c33' fontsize=20>3.每天整点挂机次数100次</ttf>\n<ttf color = '#996c33' fontsize=20>4.每周获得275点经验双倍点</ttf>\n<ttf color = '#996c33' fontsize=20>5.拥有领取红包机会4次
1,6,VIP6,6,10000,0,18,11,"(10000,)","(7,)",100,50,1,<ttf color = '#996c33' fontsize=20>1.[累计充值60元宝]</ttf>\n<ttf color = '#996c33' fontsize=20>2.好友上限35个</ttf>\n<ttf color = '#996c33' fontsize=20>3.每天整点挂机次数100次</ttf>\n<ttf color = '#996c33' fontsize=20>4.每周获得275点经验双倍点</ttf>\n<ttf color = '#996c33' fontsize=20>5.拥有领取红包机会4次
1,7,VIP7,7,25000,0,19,12,"(10000,)","(8,)",100,50,1,<ttf color = '#996c33' fontsize=20>1.[累计充值60元宝]</ttf>\n<ttf color = '#996c33' fontsize=20>2.好友上限35个</ttf>\n<ttf color = '#996c33' fontsize=20>3.每天整点挂机次数100次</ttf>\n<ttf color = '#996c33' fontsize=20>4.每周获得275点经验双倍点</ttf>\n<ttf color = '#996c33' fontsize=20>5.拥有领取红包机会4次
1,8,VIP8,8,50000,0,20,13,"(10000,)","(9,)",100,50,1,<ttf color = '#996c33' fontsize=20>1.[累计充值60元宝]</ttf>\n<ttf color = '#996c33' fontsize=20>2.好友上限35个</ttf>\n<ttf color = '#996c33' fontsize=20>3.每天整点挂机次数100次</ttf>\n<ttf color = '#996c33' fontsize=20>4.每周获得275点经验双倍点</ttf>\n<ttf color = '#996c33' fontsize=20>5.拥有领取红包机会4次
1,9,VIP9,9,80000,0,21,14,"(10000,)","(10,)",100,50,1,<ttf color = '#996c33' fontsize=20>1.[累计充值60元宝]</ttf>\n<ttf color = '#996c33' fontsize=20>2.好友上限35个</ttf>\n<ttf color = '#996c33' fontsize=20>3.每天整点挂机次数100次</ttf>\n<ttf color = '#996c33' fontsize=20>4.每周获得275点经验双倍点</ttf>\n<ttf color = '#996c33' fontsize=20>5.拥有领取红包机会4次
1,10,VIP10,10,120000,0,22,15,"(10000,)","(11,)",100,50,1,<ttf color = '#996c33' fontsize=20>1.[累计充值60元宝]</ttf>\n<ttf color = '#996c33' fontsize=20>2.好友上限35个</ttf>\n<ttf color = '#996c33' fontsize=20>3.每天整点挂机次数100次</ttf>\n<ttf color = '#996c33' fontsize=20>4.每周获得275点经验双倍点</ttf>\n<ttf color = '#996c33' fontsize=20>5.拥有领取红包机会4次
1,11,VIP11,11,160000,0,23,16,"(10000,)","(12,)",100,50,1,<ttf color = '#996c33' fontsize=20>1.[累计充值60元宝]</ttf>\n<ttf color = '#996c33' fontsize=20>2.好友上限35个</ttf>\n<ttf color = '#996c33' fontsize=20>3.每天整点挂机次数100次</ttf>\n<ttf color = '#996c33' fontsize=20>4.每周获得275点经验双倍点</ttf>\n<ttf color = '#996c33' fontsize=20>5.拥有领取红包机会4次
