交互检查规则,,,,,,
导出规则,,,,,,
分类,基础信息,,,,,
表头,编号,boss等级,相关怪物,击杀奖励物品数量,击杀罗睺物品奖励,
关键字标识,Y,,,,,
唯一标识,Y,,,,,
非空标识,Y,,,,,
检查规则,,,,,,
变量名称,id,level,monster,killNumber,killReward,
变量类型,I,I,I,E,E,
变量空间,cs,cs,cs,cs,cs,
,,,,,,
BEGIN,世界boss表,worldboss_data,,,,
,101,1,201,"(1,1,)","(77,37,)", q
,102,2,202,"(1,1,)","(77,37,)",
,103,3,203,"(1,1,)","(77,37,)",
,104,4,204,"(1,1,)","(77,37,)",
,105,5,205,"(1,1,)","(77,37,)",
,106,6,206,"(1,1,)","(77,37,)",
,107,7,207,"(1,1,)","(77,37,)",
,108,8,208,"(1,1,)","(77,37,)",
,109,9,209,"(1,1,)","(77,37,)",
,110,10,210,"(1,1,)","(77,37,)",
,111,11,211,"(1,1,)","(77,37,)",
,112,12,212,"(1,1,)","(77,37,)",
,113,13,213,"(1,1,)","(77,37,)",
,114,14,214,"(1,1,)","(77,37,)",
,115,15,215,"(1,1,)","(77,37,)",
,116,16,216,"(1,1,)","(77,37,)",
,117,17,217,"(1,1,)","(77,37,)",
,118,18,218,"(1,1,)","(77,37,)",
,119,19,219,"(1,1,)","(77,37,)",
,120,20,220,"(1,1,)","(77,37,)",
,121,21,221,"(1,1,)","(77,37,)",
,122,22,222,"(1,1,)","(77,37,)",
,123,23,223,"(1,1,)","(77,37,)",
,124,24,224,"(1,1,)","(77,37,)",
,125,25,225,"(1,1,)","(77,37,)",
,126,26,226,"(1,1,)","(77,37,)",
,127,27,227,"(1,1,)","(77,37,)",
,128,28,228,"(1,1,)","(77,37,)",
,129,29,229,"(1,1,)","(77,37,)",
,130,30,230,"(1,1,)","(77,37,)",
,131,31,231,"(1,1,)","(77,37,)",
,132,32,232,"(1,1,)","(77,37,)",
,133,33,233,"(1,1,)","(77,37,)",
,134,34,234,"(1,1,)","(77,37,)",
,135,35,235,"(1,1,)","(77,37,)",
,136,36,236,"(1,1,)","(77,37,)",
,137,37,237,"(1,1,)","(77,37,)",
,138,38,238,"(1,1,)","(77,37,)",
,139,39,239,"(1,1,)","(77,37,)",
,140,40,240,"(1,1,)","(77,37,)",
,141,41,241,"(1,1,)","(77,37,)",
,142,42,242,"(1,1,)","(77,37,)",
,143,43,243,"(1,1,)","(77,37,)",
,144,44,244,"(1,1,)","(77,37,)",
,145,45,245,"(1,1,)","(77,37,)",
,146,46,246,"(1,1,)","(77,37,)",
,147,47,247,"(1,1,)","(77,37,)",
,148,48,248,"(1,1,)","(77,37,)",
,149,49,249,"(1,1,)","(77,37,)",
,150,50,250,"(1,1,)","(77,37,)",
,151,51,251,"(1,1,)","(77,37,)",
,152,52,252,"(1,1,)","(77,37,)",
,153,53,253,"(1,1,)","(77,37,)",
,154,54,254,"(1,1,)","(77,37,)",
,155,55,255,"(1,1,)","(77,37,)",
,156,56,256,"(1,1,)","(77,37,)",
,157,57,257,"(1,1,)","(77,37,)",
,158,58,258,"(1,1,)","(77,37,)",
,159,59,259,"(1,1,)","(77,37,)",
,160,60,260,"(1,1,)","(77,37,)",
,161,61,261,"(1,1,)","(77,37,)",
,162,62,262,"(1,1,)","(77,37,)",
,163,63,263,"(1,1,)","(77,37,)",
,164,64,264,"(1,1,)","(77,37,)",
,165,65,265,"(1,1,)","(77,37,)",
,166,66,266,"(1,1,)","(77,37,)",
,167,67,267,"(1,1,)","(77,37,)",
,168,68,268,"(1,1,)","(77,37,)",
,169,69,269,"(1,1,)","(77,37,)",
,170,70,270,"(1,1,)","(77,37,)",
,171,71,271,"(1,1,)","(77,37,)",
,172,72,272,"(1,1,)","(77,37,)",
,173,73,273,"(1,1,)","(77,37,)",
,174,74,274,"(1,1,)","(77,37,)",
,175,75,275,"(1,1,)","(77,37,)",
,176,76,276,"(1,1,)","(77,37,)",
,177,77,277,"(1,1,)","(77,37,)",
,178,78,278,"(1,1,)","(77,37,)",
,179,79,279,"(1,1,)","(77,37,)",
,180,80,280,"(1,1,)","(77,37,)",
,181,81,281,"(1,1,)","(77,37,)",
,182,82,282,"(1,1,)","(77,37,)",
,183,83,283,"(1,1,)","(77,37,)",
,184,84,284,"(1,1,)","(77,37,)",
,185,85,285,"(1,1,)","(77,37,)",
,186,86,286,"(1,1,)","(77,37,)",
,187,87,287,"(1,1,)","(77,37,)",
,188,88,288,"(1,1,)","(77,37,)",
,189,89,289,"(1,1,)","(77,37,)",
,190,90,290,"(1,1,)","(77,37,)",
,191,91,291,"(1,1,)","(77,37,)",
,192,92,292,"(1,1,)","(77,37,)",
,193,93,293,"(1,1,)","(77,37,)",
,194,94,294,"(1,1,)","(77,37,)",
,195,95,295,"(1,1,)","(77,37,)",
,196,96,296,"(1,1,)","(77,37,)",
,197,97,297,"(1,1,)","(77,37,)",
,198,98,298,"(1,1,)","(77,37,)",
,199,99,299,"(1,1,)","(77,37,)",
,200,100,300,"(1,1,)","(77,37,)",
,201,101,301,"(1,1,)","(77,37,)",
,202,102,302,"(1,1,)","(77,37,)",
,203,103,303,"(1,1,)","(77,37,)",
,204,104,304,"(1,1,)","(77,37,)",
,205,105,305,"(1,1,)","(77,37,)",
,206,106,306,"(1,1,)","(77,37,)",
,207,107,307,"(1,1,)","(77,37,)",
,208,108,308,"(1,1,)","(77,37,)",
,209,109,309,"(1,1,)","(77,37,)",
,210,110,310,"(1,1,)","(77,37,)",
,211,111,311,"(1,1,)","(77,37,)",
,212,112,312,"(1,1,)","(77,37,)",
,213,113,313,"(1,1,)","(77,37,)",
,214,114,314,"(1,1,)","(77,37,)",
,215,115,315,"(1,1,)","(77,37,)",
,216,116,316,"(1,1,)","(77,37,)",
,217,117,317,"(1,1,)","(77,37,)",
,218,118,318,"(1,1,)","(77,37,)",
,219,119,319,"(1,1,)","(77,37,)",
,220,120,320,"(1,1,)","(77,37,)",
,221,121,321,"(1,1,)","(77,37,)",
,222,122,322,"(1,1,)","(77,37,)",
,223,123,323,"(1,1,)","(77,37,)",
,224,124,324,"(1,1,)","(77,37,)",
,225,125,325,"(1,1,)","(77,37,)",
,226,126,326,"(1,1,)","(77,37,)",
,227,127,327,"(1,1,)","(77,37,)",
,228,128,328,"(1,1,)","(77,37,)",
,229,129,329,"(1,1,)","(77,37,)",
,230,130,330,"(1,1,)","(77,37,)",
,231,131,331,"(1,1,)","(77,37,)",
,232,132,332,"(1,1,)","(77,37,)",
,233,133,333,"(1,1,)","(77,37,)",
,234,134,334,"(1,1,)","(77,37,)",
,235,135,335,"(1,1,)","(77,37,)",
,236,136,336,"(1,1,)","(77,37,)",
,237,137,337,"(1,1,)","(77,37,)",
,238,138,338,"(1,1,)","(77,37,)",
,239,139,339,"(1,1,)","(77,37,)",
,240,140,340,"(1,1,)","(77,37,)",
,241,141,341,"(1,1,)","(77,37,)",
,242,142,342,"(1,1,)","(77,37,)",
,243,143,343,"(1,1,)","(77,37,)",
,244,144,344,"(1,1,)","(77,37,)",
,245,145,345,"(1,1,)","(77,37,)",
,246,146,346,"(1,1,)","(77,37,)",
,247,147,347,"(1,1,)","(77,37,)",
,248,148,348,"(1,1,)","(77,37,)",
,249,149,349,"(1,1,)","(77,37,)",
,250,150,350,"(1,1,)","(77,37,)",
,251,151,351,"(1,1,)","(77,37,)",
