交互检查规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表头,编号,名称,商品编号,渠道类型,商品类型,商品子类型,排序,价格,玉珏,正常赠送,每日赠送,首充赠送,标签,图标,首冲礼包,物品数量,图标,2次充值礼包,物品数量,图标,3次充值礼包,物品数量,图标,描述,充值赠赠送百分比,联想平台用,VIP等级显示,渠道特惠购买对应苹果id,名字,数量
关键字标识,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唯一标识,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非空标识,Y,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,
检查规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
变量名称,id,name,productId,sdkId,productKind,type,order,price,jade,giveGold,dayGive,firstGold,label,icon,firstGift,firstNum,firstIcon,SecondGift,SecondNum,SecondIcon,ThirdGift,ThirdNum,ThirdIcon,des,zfbGive,ext,vipShow,thgmQd,kuaijieName,num
变量类型,I,S,S,I,I,I,I,F,I,I,I,I,I,I,E,E,I,E,E,I,E,E,I,S,F,I,I,I,S,I
变量空间,cs,c,cs,cs,cs,cs,c,cs,cs,cs,cs,cs,c,c,cs,cs,cs,cs,cs,cs,cs,cs,cs,c,cs,cs,cs,cs,cs,cs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGIN,充值表,chongzhi_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000,60玉玦,cn.gamejelly.gong.appstore_60yj,1,1,1,3,6,60,6,,60,1,1000,"(12000,12001,12002,)","(3,5,10,)",1000,,,,,,,,0.05,,,,,
,1001,300玉玦,cn.gamejelly.gong.appstore_300yj,1,1,2,4,30,300,30,,300,1,1001,"(12000,12001,12002,)","(3,5,10,)",1001,"(12000,12001,12002,)","(3,5,10,)",1001,,,,,0.05,,,,,
,1002,980玉玦,cn.gamejelly.gong.appstore_980yj,1,1,3,5,98,980,128,,980,1,1002,"(12000,12001,12002,)","(3,5,10,)",1002,"(12000,12001,12002,)","(3,5,10,)",1002,,,,,0.05,,,,,
,1003,1980玉玦,cn.gamejelly.gong.appstore_1980yj,1,1,4,6,198,1980,288,,1980,1,1003,"(12000,12001,12002,)","(3,5,10,)",1003,"(12000,12001,12002,)","(3,5,10,)",1003,,,,,0.05,,,,,
,1004,3280玉玦,cn.gamejelly.gong.appstore_3280yj,1,1,5,7,328,3280,628,,3280,1,1004,"(12000,12001,12002,)","(3,5,10,)",1004,"(12000,12001,12002,)","(3,5,10,)",1004,,,,,0.05,,,,,
,1005,6480玉玦,cn.gamejelly.gong.appstore_6480yj,1,1,6,8,648,6480,1288,,6480,1,1005,"(12000,12001,12002,)","(3,5,10,)",1005,"(12000,12001,12002,)","(3,5,10,)",1005,,,,,0.05,,,,,
,1006,月卡,cn.gamejelly.gong.appstore_yk,1,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,1007,周卡,cn.gamejelly.gong.appstore_zk,1,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,1008,10玉玦,cn.gamejelly.gong.appstore_10yj,1,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,1009,32400玉玦,cn.gamejelly.gong.appstore_32400yj,1,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,1010,36000玉玦,cn.gamejelly.gong.appstore_36000yj,1,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,2000,60玉玦,cn.gamejelly.gong.ky_60yj,5,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,2001,300玉玦,cn.gamejelly.gong.ky_300yj,5,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,2002,980玉玦,cn.gamejelly.gong.ky_980yj,5,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,2003,1980玉玦,cn.gamejelly.gong.ky_1980yj,5,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,2004,3280玉玦,cn.gamejelly.gong.ky_3280yj,5,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,2005,6480玉玦,cn.gamejelly.gong.ky_6480yj,5,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,2006,月卡,cn.gamejelly.gong.appstore_yk,5,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,2007,周卡,cn.gamejelly.gong.appstore_zk,5,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,2008,32400玉玦,cn.gamejelly.gong.ky_32400yj,5,1,9,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,2009,36000玉玦,cn.gamejelly.gong.ky_36000yj,5,1,10,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,3000,60玉玦,cn.gamejelly.gong.tb_60yj,7,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,3001,300玉玦,cn.gamejelly.gong.tb_300yj,7,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,3002,980玉玦,cn.gamejelly.gong.tb_980yj,7,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,3003,1980玉玦,cn.gamejelly.gong.tb_1980yj,7,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,3004,3280玉玦,cn.gamejelly.gong.tb_3280yj,7,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,3005,6480玉玦,cn.gamejelly.gong.tb_6480yj,7,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,3006,月卡,cn.gamejelly.gong.appstore_yk,1,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,3007,周卡,cn.gamejelly.gong.appstore_zk,1,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
