交互检查规则,,
导出规则,,
分类,,
表头,编号,关键字
关键字标识,Y,
唯一标识,Y,
非空标识,Y,Y
检查规则,,
变量名称,id,key
变量类型,I,S
变量空间,s,cs
,,
BEGIN,内容过滤表,taboo_content_data
,1,毛泽东
,2,周恩来
,3,刘少奇
,4,朱德
,5,彭德怀
,6,林彪
,7,刘伯承
,8,陈毅
,9,贺龙
,10,聂荣臻
,11,徐向前
,12,罗荣桓
,13,叶剑英
,14,李大钊
,15,陈独秀
,16,孙中山
,17,孙文
,18,孙逸仙
,19,邓小平
,20,陈云
,21,江泽民
,22,李鹏
,23,朱镕基
,24,李瑞环
,25,尉健行
,26,李岚清
,27,胡锦涛
,28,罗干
,29,温家宝
,30,吴邦国
,31,曾庆红
,32,贾庆林
,33,黄菊
,34,吴官正
,35,李长春
,36,吴仪
,37,回良玉
,38,曾培炎
,39,曹刚川
,40,唐家璇
,41,华建敏
,42,陈至立
,43,张德江
,44,俞正声
,45,王乐泉
,46,刘云山
,47,王刚
,48,王兆国
,49,刘淇
,50,贺国强
,51,郭伯雄
,52,胡耀邦
,53,王乐泉
,54,王兆国
,55,习近平
,56,李克强
,57,张高丽
,58,刘延东
,59,彭丽媛
,60,王岐山
,61,华国锋
,62,胡耀邦
,63,习大大
,64,吴帮国
,65,无帮国
,66,无邦国
,67,无帮过
,68,瘟家宝
,69,假庆林
,70,甲庆林
,71,假青林
,72,离长春
,73,习远平
,74,袭近平
,75,李磕墙
,76,贺过墙
,77,和锅枪
,78,胡主席
,79,习主席
,80,毛主席
,81,布什
,82,布莱尔
,83,小泉
,84,纯一郎
,85,萨马兰奇
,86,安南
,87,阿拉法特
,88,普京
,89,默克尔
,90,克林顿
,91,里根
,92,尼克松
,93,林肯
,94,杜鲁门
,95,赫鲁晓夫
,96,列宁
,97,斯大林
,98,马克思
,99,恩格斯
,100,金正日
,101,金日成
,102,萨达姆
,103,胡志明
,104,西哈努克
,105,希拉克
,106,撒切尔
,107,阿罗约
,108,曼德拉
,109,卡斯特罗
,110,富兰克林
,111,华盛顿
,112,艾森豪威尔
,113,拿破仑
,114,亚历山大
,115,路易
,116,拉姆斯菲尔德
,117,劳拉
,118,鲍威尔
,119,奥巴马
,120,梅德韦杰夫
,121,金正恩
,122,安倍晋三
,123,本拉登
,124,奥马尔
,125,柴玲
,126,达赖
,127,达赖喇嘛
,128,江青
,129,张春桥
,130,姚文元
,131,王洪文
,132,东条英机
,133,希特勒
,134,墨索里尼
,135,冈村秀树
,136,法图麦
,137,赫蒂彻
,138,冈村宁次
,139,高丽朴
,140,赵紫阳
,141,王丹
,142,沃尔开西
,143,李洪志
,144,李大师
,145,赖昌星
,146,马加爵
,147,班禅
,148,额尔德尼
,149,山本五十六
,150,阿扁
,151,阿扁万岁
,152,热那亚
,153,薄熙来
,154,周永康
,155,王立军
,156,令计划
,157,默罕默德
,158,徐才厚
,159,粥永康
,160,轴永康
,161,肘永康
,162,周健康
,163,粥健康
,164,周小康
,165,陈良宇
,166,李登辉
,167,连战
,168,宋楚瑜
,169,吕秀莲
,170,郁慕明
,171,蒋介石
,172,蒋中正
,173,蒋经国
,174,马英九
,175,新疆势力
,176,蔡英文
,177,六四
,178,六四运动
,179,东方闪电
,180,茉莉花
,181,美国之音
,182,密宗
,183,民国
,184,民进党
,185,民运
,186,民主
,187,民主潮
,188,摩门教
,189,纳粹
,190,南华早报
,191,南蛮
,192,明慧网
,193,起义
,194,亲民党
,195,瘸腿帮
,196,人民报
,197,法轮功
,198,法轮大法
,199,打倒共产党
,200,东方神教
,201,台独万岁
,202,圣战
,203,示威
,204,台独
,205,台独分子
,206,台联
,207,台湾民国
,208,台湾岛国
,209,台湾国
,210,台湾独立
,211,太子党
,212,天安门事件
,213,屠杀
,214,小泉
,215,新党
,216,新疆独立
,217,新疆分裂
,218,新疆国
,219,疆独
,220,西藏独立
,221,西藏分裂
,222,西藏国
,223,藏独
,224,藏青会
,225,藏妇会
,226,学潮
,227,学运
,228,一党专政
,229,一中一台
,230,两个中国
,231,一贯道
,232,游行
,233,圆满
,234,造反
,235,真善忍
,236,镇压
,237,政变
,238,政治
,239,政治反对派
,240,政治犯
,241,中共
,242,共产党
,243,反党
,244,反共
,245,政府
,246,民主党
,247,中国之春
,248,转法轮
,249,自焚
,250,共党
,251,共匪
,252,苏家屯
,253,基地组织
,254,塔利班
,255,东亚病夫
,256,支那
,257,高治联
,258,高自联
,259,专政
,260,专制
,261,四人帮
,262,新闻管制
,263,核工业基地
,264,核武器
,265,铀
,266,原子弹
,267,氢弹
,268,导弹
,269,核潜艇
,270,大参考
,271,小参考
,272,国内动态清样
,273,东突
,274,中央电视台
,275,南海仲裁
,276,雪山狮子旗
,277,占领中环
,278,两国论
,279,一边一国
,280,赤匪
,281,道教
,282,多维
,283,佛教
,284,佛祖
,285,释迦牟尼
,286,如来
,287,阿弥陀佛
,288,观世音
,289,普贤
,290,文殊
,291,地藏
,292,河殇
,293,回教
,294,密宗
,295,摩门教
,296,穆罕默德
,297,穆斯林
,298,升天
,299,圣母
,300,圣战
,301,耶和华
,302,耶稣
,303,伊斯兰
,304,真主安拉
,305,白莲教
,306,天主教
,307,基督教
,308,东正教
,309,大法
,310,法轮
,311,法轮功
,312,瘸腿帮
,313,真理教
,314,真善忍
,315,转法轮
,316,自焚
,317,走向圆满
,318,黄大仙
,319,风水
,320,跳大神
,321,神汉
,322,神婆
,323,真理教
,324,大卫教
,325,阎王
,326,黑白无常
,327,牛头马面
,328,藏独
,329,高丽棒子
,330,回回
,331,疆独
,332,蒙古鞑子
,333,台独
,334,台独分子
,335,台联
,336,台湾民国
,337,西藏独立
,338,新疆独立
,339,南蛮
,340,老毛子
,341,回民吃猪肉
,342,蒙古独立
,343,全能神
,344,谋杀
,345,杀人
,346,吸毒
,347,贩毒
,348,赌博
,349,拐卖
,350,走私
,351,卖淫
,352,造反
,353,监狱
,354,强奸
,355,轮奸
,356,抢劫
,357,先奸后杀
,358,枪支弹药
,359,下注
,360,押大
,361,押小
,362,抽头
,363,坐庄
,364,赌马
,365,赌球
,366,筹码
,367,老虎机
,368,轮盘赌
,369,安非他命
,370,大麻
,371,可卡因
,372,海洛因
,373,冰毒
,374,摇头丸
,375,杜冷丁
,376,鸦片
,377,罂粟
,378,迷幻药
,379,白粉
,380,嗑药
,381,卖枪支弹药
,382,K粉
,383,k粉
,384,冰粉
,385,毒品
,386,屄
,387,肏
,388,屌
,389,马的
