交互检查规则,,
导出规则,,
分类,,
表头,编号,关键字
关键字标识,Y,
唯一标识,Y,
非空标识,Y,Y
检查规则,,
变量名称,id,key
变量类型,I,S
变量空间,s,s
,,
BEGIN,名字过滤表,taboo_name_data
,1,封神
,2,封神来
,3,系统
,4,管理员
,5,毛泽东 
,6,周恩来 
,7,刘少奇 
,8,朱德 
,9,彭德怀 
,10,林彪 
,11,刘伯承 
,12,陈毅 
,13,贺龙 
,14,聂荣臻 
,15,徐向前 
,16,罗荣桓 
,17,叶剑英 
,18,李大钊 
,19,陈独秀 
,20,孙中山 
,21,孙文 
,22,孙逸仙 
,23,邓小平 
,24,陈云 
,25,江泽民 
,26,李鹏 
,27,朱镕基 
,28,李瑞环 
,29,尉健行 
,30,李岚清 
,31,胡锦涛 
,32,罗干 
,33,温家宝 
,34,吴邦国 
,35,曾庆红 
,36,贾庆林 
,37,黄菊 
,38,吴官正 
,39,李长春 
,40,吴仪 
,41,回良玉 
,42,曾培炎 
,43,周永康 
,44,曹刚川 
,45,唐家璇 
,46,华建敏 
,47,陈至立 
,48,陈良宇 
,49,张德江 
,50,张立昌 
,51,张德江 
,52,俞正声 
,53,刘云山 
,54,王岐山 
,55,张高丽 
,56,王乐泉 
,57,刘云山 
,58,王刚 
,59,王兆国 
,60,刘淇 
,61,贺国强 
,62,郭伯雄 
,63,胡耀邦 
,64,王乐泉 
,65,王兆国 
,66,周永康 
,67,李登辉 
,68,连战 
,69,陈水扁 
,70,宋楚瑜 
,71,吕秀莲 
,72,郁慕明 
,73,蒋介石 
,74,蒋中正 
,75,蒋经国 
,76,马英九 
,77,习近平 
,78,李克强 
,79,吴帮国 
,80,无帮国 
,81,无邦国 
,82,无帮过 
,83,瘟家宝 
,84,假庆林 
,85,甲庆林 
,86,假青林 
,87,离长春 
,88,习远平 
,89,袭近平 
,90,李磕墙 
,91,贺过墙 
,92,和锅枪 
,93,粥永康 
,94,轴永康 
,95,肘永康 
,96,周健康 
,97,粥健康 
,98,周小康 
,99,李肇星务 
,100,国务委员 
,101,国务院 
,102,中央委员 
,103,发改委 
,104,国家发展和改革委员会 
,105,发展和改革委员会 
,106,国家发展与改革委员会 
,107,发展与改革委员会 
,108,薄熙来 
,109,温家饱 
,110,温假饱 
,111,胡惊涛 
,112,习仲勋 
,113,华国锋 
,114,彭丽媛 
,115,新闻出版总署 
,116,新闻出版署 
,117,刘志军 
,118,令计划 
,119,王立军 
,120,布什 
,121,布莱尔 
,122,小泉 
,123,纯一郎 
,124,萨马兰奇 
,125,安南 
,126,阿拉法特 
,127,普京 
,128,默克尔 
,129,克林顿 
,130,里根 
,131,尼克松 
,132,林肯 
,133,杜鲁门 
,134,赫鲁晓夫 
,135,列宁 
,136,斯大林 
,137,马克思 
,138,恩格斯 
,139,金正日 
,140,金日成 
,141,萨达姆 
,142,胡志明 
,143,西哈努克 
,144,希拉克 
,145,撒切尔 
,146,阿罗约 
,147,曼德拉 
,148,卡斯特罗 
,149,富兰克林 
,150,华盛顿 
,151,艾森豪威尔 
,152,拿破仑 
,153,亚历山大 
,154,路易 
,155,拉姆斯菲尔德 
,156,劳拉 
,157,鲍威尔 
,158,奥巴马 
,159,本拉登 
,160,奥马尔 
,161,柴玲 
,162,达赖喇嘛 
,163,江青 
,164,张春桥 
,165,姚文元 
,166,王洪文 
,167,东条英机 
,168,希特勒 
,169,墨索里尼 
,170,冈村秀树 
,171,冈村宁次 
,172,高丽朴 
,173,赵紫阳 
,174,王丹 
,175,沃尔开西 
,176,李洪志 
,177,李大师 
,178,赖昌星 
,179,马加爵 
,180,班禅 
,181,额尔德尼 
,182,山本五十六 
,183,阿扁 
,184,阿扁万岁 
,185,热那亚 
,186,热比娅 
,187,尖阁列岛 
,188,实际神 
,189,东方闪电 
,190,全能神 
,191,安倍晋三 
,192,金正恩 
,193,释迦牟尼 
,194,恐怖组织 
,195,买毒品 
,196,卖毒品 
,197,茉莉花 
,198,钓鱼岛 
,199,钓鱼岛不属于中国 
,200,突尼斯 
,201,gongchandang 
,202,西藏314事件 
,203,新疆7.5事件 
,204,新疆国 
,205,党中央 
,206,新闻管制 
,207,一边一国 
,208,两国论 
,209,分裂中国 
,210,革命 
,211,茉莉花 
,212,突尼斯 
,213,国内动态详情 
,214,回回 
,215,六四 
,216,六四运动 
,217,美国之音 
,218,密宗 
,219,民国 
,220,民进党 
,221,民运 
,222,民主 
,223,民主潮 
,224,摩门教 
,225,纳粹 
,226,南华早报 
,227,南蛮 
,228,明慧网 
,229,起义 
,230,亲民党 
,231,瘸腿帮 
,232,人民报 
,233,法轮功 
,234,法轮大法 
,235,打倒共产党 
,236,台独万岁 
,237,圣战 
,238,示威 
,239,台独 
,240,台独分子 
,241,台联 
,242,台湾民国 
,243,台湾岛国 
,244,台湾国 
,245,台湾独立 
,246,太子党 
,247,天安门事件 
,248,屠杀 
,249,小泉 
,250,新党 
,251,新疆独立 
,252,新疆分裂 
,253,新疆国 
,254,疆独 
,255,西藏独立 
,256,西藏分裂 
,257,西藏国 
,258,藏独 
,259,藏青会 
,260,藏妇会 
,261,学潮 
,262,学运 
,263,一党专政 
,264,一中一台 
,265,两个中国 
,266,一贯道 
,267,游行 
,268,造反 
,269,真善忍 
,270,镇压 
,271,政变 
,272,政治 
,273,政治反对派 
,274,政治犯 
,275,中共 
,276,共产党 
,277,反党 
,278,反共 
,279,政府 
,280,民主党 
,281,中国之春 
,282,转法轮 
,283,自焚 
,284,共党 
,285,共匪 
,286,苏家屯 
,287,基地组织 
,288,塔利班 
,289,东亚病夫 
,290,支那 
,291,高治联 
,292,高自联 
,293,专政 
,294,专制 
,295,世界维吾尔大会 
,296,核工业基地 
,297,核武器 
,298,铀 
,299,原子弹 
,300,氢弹 
,301,导弹 
,302,核潜艇 
,303,大参考 
,304,小参考 
,305,国内动态清样 
,306,八一 
,307,释迦牟尼 
,308,阿弥陀佛 
,309,多维 
,310,河殇 
,311,摩门教 
,312,穆罕默德 
,313,圣战 
,314,耶和华 
,315,耶稣 
,316,伊斯兰 
,317,真主安拉 
,318,白莲教 
,319,天主教 
,320,基督教 
,321,东正教 
,322,大法 
,323,法轮 
,324,法轮功 
,325,瘸腿帮 
,326,真理教 
,327,真善忍 
,328,转法轮 
,329,自焚 
,330,走向圆满 
,331,黄大仙 
,332,跳大神 
,333,神汉 
,334,神婆 
,335,真理教 
,336,大卫教 
,337,阎王 
,338,黑白无常 
,339,牛头马面 
,340,藏独 
