交互检查规则,,,,,,
导出规则,,,,,,
分类,基础信息,,,,,
表头,武将名称,好感度描述,好感度数值,好感度属性增幅,好感度描述,属性值
关键字标识,Y,,,,,
唯一标识,Y,,,,,
非空标识,Y,,,,,
检查规则,,,,,,
变量名称,id,des,likability,likabilityup,likestory,attributeup
变量类型,I,S,I,E,S,E
变量空间,cs,cs,cs,cs,cs,cs
,,,,,,
BEGIN,图鉴好感度表,illustrations_freel_data,,,,
,10000,萍水相逢,0,"(10045,10046,10047,10048,)",随意而过，互不经心，点头之交。,"(1,1,1,1,)"
,10001,意气相投,201,"(10045,10046,10047,10048,)",相谈甚欢，互通姓名，可称好友。,"(2,2,2,2,)"
,10002,结伴同行,501,"(10045,10046,10047,10048,)",芭窗夜话，天涯虽大，亦可把臂同行。,"(3,3,3,3,)"
,10003,莫逆相交,1001,"(10045,10046,10047,10048,)",引为知己，金风玉露一相逢，却胜人间无数。,"(4,4,4,4,)"
,10004,生死与共,2001,"(10045,10046,10047,10048,)",若有一日，君埋黄泉，我自黄泥销骨，相伴相随。,"(5,5,5,5,)"
