交互检查规则,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,
分类,,,,,,,,,,,,,,,
表头,编号,对话内容,对话人物,对话人物名称,正在说话任务,下个对话,人物站位,位置偏移值,配音ID,屏幕坐标,介绍,场景,特殊,,断章对话
关键字标识,Y,,,,,,,,,,,,,,
唯一标识,Y,,,,,,,,,,,,,,
非空标识,Y,,,,,,,,,,,,,,
检查规则,,,,,,,,,,,,,,,
变量名称,id,talk,char,name,talking,next,stance,dpos,dub,coordinate,servantinformation,sense,special,,breaktalk
变量类型,I,S,E,S,I,E,E,E,I,S,I,I,E,,E
变量空间,c,c,c,c,c,c,c,c,c,cs,cs,c,cs,,cs
,,,,,,,,,,,,,,,
BEGIN,女对话表,female_talk222_data,,,,,,,,,,,,,
序章,1,序,,旁白,0,"(2,)",,,,,,10,,,
0-1（1）,2,今日，寅月初一，有大雪。,,旁白,0,"(3,)",,,,,,9,,,
,3,宜扫除婚嫁动土，忌远游。,,旁白,0,"(4,)",,,,,,9,,,
,4,这种天气，师父总是喜欢在山上的钓雪楼里喝酒。,,旁白,0,"(5,)",,,,,,9,,,
,5,师父，您找我？,"(40004,)",玩家,-1,"(6,)","(2,)","(-356,)",,,,9,,,
,6,"师父手臂上停了一只白色的雕。\n它见我来了,冷冷望了我一眼，然后亲昵地在我师父胳膊上蹭了蹭。","(40004,)",旁白,0,"(7,)","(2,)","(-356,)",,,,9,,,
,7,它充满了人性的目光注视着我，令我不禁疑惑起来。,"(40004,)",旁白,0,"(8,)","(2,)","(-356,)",,,,9,,,
,8,这是师父养的雪雕，颇有灵性。\n平时我再怎么示好也不搭理我，总是一副懒洋洋的样子。,"(40004,)",旁白,0,"(9,)","(2,)","(-356,)",,,,9,,,
,9,师父看了我一眼，目光中有些什么。,"(40004,)",旁白,0,"(10,)","(2,)","(-356,)",,,,9,,,
,10,你从今日起，不得离开我视线范围。,"(40004,)",李白,40004,"(11,)","(2,)","(-356,)",,,10004,9,,,
,11,我在心下缓了一缓。,"(40004,)",旁白,0,"(12,13,)","(2,)","(-356,)",,,,9,,,
,12,师父，何事发生？,"(40004,)",玩家,-1,"(14,)","(2,)","(-356,)",,,,9,,,
,13,哎哎哎？何事惹得我们师父不开心？,"(40004,)",玩家,-1,"(14,)","(2,)","(-356,)",,,,9,,,
,14,雪雕带回来的消息，你父亲因收受贿赂，已经被皇帝打入天牢。,"(40004,)",李白,40004,"(15,)","(2,)","(-356,)",,,,9,,,
,15,黄河沿岸三万百姓性命，如今都在你父亲名下。,"(40004,)",李白,40004,"(16,)","(2,)","(-356,)",,,,9,,,
,16,我父亲？……师父你真的不在开玩笑吗？\n我爹那种老狐狸……师父，这消息当真没有误传？,"(40004,)",玩家,-1,"(17,)","(2,)","(-356,)",,,,9,,,
,17,你家中传来的急信，当无错漏。\n我观此事颇有蹊跷，你不必着急，静候你爹的消息便是。,"(40004,)",李白,40004,"(18,)","(2,)","(-356,)",,,,9,,,
,18,可是师父……,"(40004,)",玩家,-1,"(19,)","(2,)","(-356,)",,,,9,,,
,19,怎么？,"(40004,)",李白,40004,"(20,)","(2,)","(-356,)",,,,9,,,
,20,……我想回家看看,"(40004,)",玩家,-1,"(21,)","(2,)","(-356,)",,,,9,,,
,21,家中蒙此大难，若是不回家一趟探知情况，于心不安。,"(40004,)",玩家,-1,"(22,)","(2,)","(-356,)",,,,9,,,
,22,而且我娘的旧物都在家中，万一要抄家，我也好先把我娘的东西给捞出来。,"(40004,)",玩家,-1,"(23,)","(2,)","(-356,)",,,,9,,,
,23,你真要走？也罢！,"(40004,)",李白,40004,,"(2,)","(-356,)",,,,9,,,"(24,)"
0-2(2),24,你要走，那就先打赢师父。,,李白,40004,"(25,)",,,,,,,"(10015,)",,
,25,……师父你这是在为难我！,,玩家,-1,"(26,)",,,,,,,,,
,26,少废话，动手。,,李白,40004,,,,,,,,"(10015,)",,"(27,)"
0-3(3),27,……啧。,"(40004,)",李白,40004,"(28,)","(2,)","(-356,)",,,,9,,,
,28,怎么一副要哭唧唧的模样？打疼你了？,"(40004,)",李白,40004,"(29,)","(2,)","(-356,)",,,,9,,,
,29,没有……徒儿……,"(40004,)",玩家,-1,"(30,)","(2,)","(-356,)",,,,9,,,
,30,你拿着这封信……若有难处，便去找信上之人。\n这人欠了我个人情，你就替我要还了吧。,"(40004,)",李白,40004,"(31,)","(2,)","(-356,)",,,,9,,,
,31,……恩，多谢师父。,"(40004,)",李白,40004,"(32,)","(2,)","(-356,)",,,,9,,,
,32,行了赶紧走，看着就碍眼。,"(40004,)",李白,40004,"(33,)","(2,)","(-356,)",,,,9,,,
,33,是。徒儿拜别师父。,"(40004,)",玩家,-1,,"(2,)","(-356,)",,1,,9,,,"(34,)"
1-1(4)-春雨,34,恭迎大小姐回府。,"(40019,)",春雨,40019,"(35,)","(2,)","(-309,)",,1,,1001,,,
,35,这是太太的丫鬟，名唤春雨。,"(40019,)",旁白,0,"(36,)","(2,)","(-309,)",,1,,1001,,,
,36,我离家五年，甚少归来。\n这里一景一物，都让我觉得又熟悉又陌生。,"(40019,)",旁白,0,"(37,)","(2,)","(-309,)",,1,,1001,,,
,37,多谢你来迎我，春雨姑娘。,"(40019,)",玩家,-1,"(38,)","(2,)","(-309,)",,1,,1001,,,
,38,大小姐客气了，奴婢怎能当大小姐一句‘姑娘’？大小姐可是要去见太太？,"(40019,)",春雨,40019,"(39,40,)","(2,)","(-309,)",,1,,1001,,,
,39,也好，我现在就去见太太。,"(40019,)",玩家,-1,"(41,)","(2,)","(-309,)",,1,,1001,,,
,40,稍后再去见太太。,"(40019,)",玩家,-1,"(42,)","(2,)","(-309,)",,1,,1001,,,
,41,太好了，太太知道您回来了一定会很开心的。,"(40019,)",春雨,40019,"(44,)","(2,)","(-309,)",,1,,1001,,,
,42,老爷身陷牢中，太太食不下咽，睡不安寝。奴婢见太太一日日消瘦下去，如今大小姐回来了，还请大小姐前去安慰太太几句。,"(40019,)",春雨,40019,"(43,)","(2,)","(-309,)",,1,,1001,,,
,43,也好。,"(40019,)",玩家,-1,"(44,)","(2,)","(-309,)",,1,,1001,,,
,44,太太在哪？,"(40019,)",玩家,-1,"(45,)","(2,)","(-309,)",,1,,1001,,,
,45,太太正在花园中等着您呢，大小姐请随我来。,"(40019,)",春雨,40019,,"(2,)","(-309,)",,1,,1001,,,"(46,)"
