交互检查规则,,,,,,,,,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,,,,,,,,,
分类,,,,,,,,,,,,,,,,,,,,,,,
表头,官权编号,官权名称,说明,排序,ICON图,头像ICON,操作类型,对象目标,按钮出现的官品等级,按钮出现的玩家等级,每日操作次数,每日被操作次数,消耗道具,消耗数量,剧情ID,动画名,好友度增加,BUFF增加,BUFF时间,赠送道具类型,道具数量,成功概率,己方奖励
关键字标识,Y,,,,,,,,,,,,,,,,,,,,,,
唯一标识,Y,,,,,,,,,,,,,,,,,,,,,,
非空标识,Y,,,,,,,,,,,,,,,,,,,,,,
检查规则,,,,,,,,,,,,,,,,,,,,,,,
变量名称,id,name,explain,order,icon,speakicon,type,object,limitGrade,limitLv,czNum,bczNum,costType,costNum,talkID,animationName,gradeCharm,buffid,punishTime,item,itemnum,succeedFormula,reward
变量类型,I,S,S,I,I,I,I,I,I,I,E,I,E,E,I,I,I,E,E,E,E,E,E
变量空间,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,c,c,cs,cs,cs,cs,cs,cs,cs
,,,,,,,,,,,,,,,,,,,,,,,
BEGIN,官权定义表,grade_power_data,,,,,,,,,,,,,,,,,,,,,
,1,惩奸,别人聊天时语句断断续续,1,1,40004,5,2,13,1,"(2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,)",1,,,,,,,"(360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,)",,,"(1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,)",
,3,禁言,别人无法聊天,2,3,40006,8,2,17,1,"(2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,)",1,,,,,,,"(360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,)",,,"(1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,)",
,4,变猪,场景中模型变成猪,3,4,40009,4,2,8,1,"(2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,)",1,,,,,,,"(360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,)",,,"(1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,)",
,5,交友,提高自己的生命5%，持续12小时,4,5,40010,3,4,7,1,"(1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,)",1,,,1,,,"(13,)","(43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,)",,,"(1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,)",
,6,传功,"提高别人的攻击力5%，持续12小时,消耗100功勋",5,6,40012,2,2,9,1,"(1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,)",1,"(10012,)","(100,)",,,,"(10,)","(43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,)",,,"(1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,)",
,7,指点,"提高别人的防御力5%，持续12小时,消耗100功勋",6,7,40013,2,2,11,1,"(1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,)",1,"(10012,)","(100,)",,,,"(11,12,)","(43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,)",,,"(1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,)",
,8,约酒,提高你与对方的友好度,7,8,40014,6,1,4,1,"(2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,)",1,,,,,10,,"(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,)",,,"(1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,)",
,9,赠送,给别人一点木材（通过邮件收取）,8,9,40015,1,1,2,1,"(2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,)",1,,,,,30,,"(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,)","(10009,)","(2000,)","(1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,)",
