交互检查规则,,,,,
导出规则,,,,,
表头,建筑编号编号,建筑名,建筑分类,合成材料,材料数量
关键字标识,Y,,,,
唯一标识,Y,,,,
非空标识,Y,,,,
检查规则,,,,,
变量名称,id,name,classify,material,num
变量类型,I,S,I,E,E
变量空间,cs,cs,cs,cs,cs
,,,,,
BEGIN,建筑合成表,make_building_data,,,
"(2,2,)",1500,宠物房,1,"(12077,10009,12007,12008,)","(1,80000,5,5,)"
"(2,2,)",1501,高级宠物房,1,"(12078,10009,12007,12008,)","(1,80000,5,5,)"
"(2,2,)",1502,江南小铺,1,"(12078,10009,12009,12010,)","(1,80000,5,5,)"
"(3,3,)",1503,摘星阁,1,"(12079,10009,12009,12010,)","(1,180000,5,5,)"
"(5,5,)",1504,太液池,4,"(12076,10009,12017,12018,)","(1,500000,5,5,)"
"(1,1,)",2000,小路,2,"(12062,10009,12027,12028,)","(1,20000,5,5,)"
"(2,2,)",2001,地板,2,"(12062,10009,12027,12028,)","(1,80000,5,5,)"
"(2,2,)",2201,露天雪温泉,2,"(12078,10009,12029,12030,)","(1,80000,5,5,)"
"(2,2,)",2202,小假山,2,"(12077,10009,12029,12030,)","(1,80000,5,5,)"
"(1,1,)",2203,烟波里假山,2,"(12077,10009,12039,12040,)","(1,20000,5,5,)"
"(2,3,)",2204,相思桥,2,"(12077,10009,12039,12040,)","(1,120000,5,5,)"
"(1,1,)",2326,樱花树,3,"(12080,10009,12047,12048,)","(1,20000,5,5,)"
"(2,2,)",2327,三春泷樱树,3,"(12081,10009,12049,12050,)","(1,80000,5,5,)"
"(2,2,)",2800,棋桌,2,"(12075,10009,12006,12007,)","(1,80000,5,5,)"
"(1,1,)",2801,石凳,2,"(12075,10009,12007,12008,)","(1,20000,5,5,)"
"(1,1,)",2802,石灯,2,"(12075,10009,12009,12010,)","(1,20000,5,5,)"
"(1,1,)",2803,花园路灯,2,"(12076,10009,12019,12020,)","(1,20000,5,5,)"
"(1,1,)",2804,红木塔灯,2,"(12076,10009,12029,12030,)","(1,20000,5,5,)"
"(2,2,)",2805,长相思亭宇,2,"(12078,10009,12039,12040,)","(1,80000,5,5,)"
