交互检查规则,,,,,,,,
导出规则,,,,,,,,
分类,,,,,,,,
表头,编号,武将id,武器编号,属性提升,提升属性,武器名称,武器图标,武器描述
关键字标识,Y,,,,,,,
唯一标识,Y,,,,,,,
非空标识,Y,,,,,,,
检查规则,,,,,,,,
变量名称,id,servant_id,weapon,attribute,attribute_up,"weapon_describe
","icon
",des
变量类型,I,I,I,E,E,S,S,S
变量空间,cs,cs,cs,cs,cs,cs,cs,cs
,,,,,,,,
BEGIN,得意武器表,weapon_data,,,,,,
,10000,1000 ,11220,"(10055,10056,10057,10058,)","(0.035,0.025,0.025,0.045,)",群芳零,11220,女主角的专属武器
,10001,1001 ,11221,"(10055,10056,10057,10058,)","(0.055,0.03,0.03,0)",天命风流扇,11221,男主角的专属武器
,10002,40000 ,11222,"(10055,10056,10057,10058,)","(0.055,0.03,0.03,0)",山河日月图,11222,姬长生的专属武器
,10003,40001 ,11223,"(10055,10056,10057,10058,)","(0.055,0.03,0.03,0.01,)",阴阳鱼,11223,长雍君的专属武器
,10004,40002 ,11224,"(10055,10056,10057,10058,)","(0.055,0.03,0.03,0.01,)",雌雄鞭,11224,闻仲的专属武器
,10005,40003 ,11225,"(10055,10056,10057,10058,)","(0.055,0.03,0.03,0.01,)",九节丈,11225,李耳的专属武器
,10006,40004 ,11226,"(10055,10056,10057,10058,)","(0.055,0.03,0.03,0.01,)",青莲剑,11226,李青莲的专属武器
,10007,40005 ,11227,"(10055,10056,10057,10058,)","(0.075,0.01,0.01,0.01,)",怅平生,11227,卡萨的专属武器
,10008,40006 ,11228,"(10055,10056,10057,10058,)","(0.06,0.01,0.01,0.03,)",离情,11228,姬重华的专属武器
,10009,40007 ,11229,"(10055,10056,10057,10058,)","(0.06,0.01,0.01,0.03,)",六芒咒符,11229,安倍晴明的专属武器
,10010,40008 ,11230,"(10055,10056,10057,10058,)","(0.01,0.05,0.05,0.075,)",承影剑,11230,承影的专属武器
,10011,40009 ,11231,"(10055,10056,10057,10058,)","(0.03,0.03,0.03,0.045,)",白鹤唳霄琴,11231,霍曼曼的专属武器
,10012,40010 ,11232,"(10055,10056,10057,10058,)","(0.03,0.03,0.03,0.045,)",独崖刀,11232,公子尘来的专属武器
,10013,40011 ,11233,"(10055,10056,10057,10058,)","(0.055,0.03,0.03,0.01,)",竹杖,11233,南歌的专属武器
,10014,40012 ,11234,"(10055,10056,10057,10058,)","(0.055,0.03,0.03,0.01,)",绣意,11234,窦夫人的专属武器
,10015,40013 ,11235,"(10055,10056,10057,10058,)","(0.055,0.03,0.03,0.01,)",绣情,11235,胡不归的专属武器
,10016,40014 ,11236,"(10055,10056,10057,10058,)","(0.01,0.05,0.05,0.075,)",千里绝杀枪,11236,武照的专属武器
,10017,40015 ,11237,"(10055,10056,10057,10058,)","(0.03,0.03,0.03,0.045,)",静音铃,11237,穆云梳的专属武器
,10018,40016 ,11238,"(10055,10056,10057,10058,)","(0.06,0.01,0.01,0.03,)",逍遥剑,11238,逍遥的专属武器
,10019,40017 ,11239,"(10055,10056,10057,10058,)","(0.055,0.03,0.03,0.01,)",忘忧拂尘,11239,玄机散人的专属武器
,10020,40018 ,11240,"(10055,10056,10057,10058,)","(0.035,0.025,0.025,0.045,)",多情环,11240,合德的专属武器
,10021,40019 ,11241,"(10055,10056,10057,10058,)","(0.055,0.03,0.03,0.01,)",离情钩,11241,飞燕的专属武器
,10022,40020 ,11242,"(10055,10056,10057,10058,)","(0.01,0.05,0.05,0.075,)",青湖离光卷,11242,洗砚的专属武器
,10023,40021 ,11243,"(10055,10056,10057,10058,)","(0.03,0.03,0.03,0.045,)",浣花洗砚卷,11243,青湖的专属武器
,10024,40022 ,11244,"(10055,10056,10057,10058,)","(0.06,0.01,0.01,0.03,)",十方艳罢,11244,艳客的专属武器
,10025,40023 ,11245,"(10055,10056,10057,10058,)","(0.06,0.01,0.01,0.03,)",古玉钱币,11245,离原的专属武器
,10026,40024 ,11246,"(10055,10056,10057,10058,)","(0.06,0.01,0.01,0.03,)",碧海潮生笛,11246,姬燕来的专属武器
,10027,40025 ,11247,"(10055,10056,10057,10058,)","(0.06,0.01,0.01,0.03,)",悬壶,11247,药王的专属武器
,10028,40026 ,11248,"(10055,10056,10057,10058,)","(0.075,0.01,0.01,0.01,)",无名剑,11248,杜浪的专属武器
,10029,40027 ,11249,"(10055,10056,10057,10058,)","(0.075,0.01,0.01,0.01,)",纸竹伞,11249,柳如是的专属武器
,10030,40028 ,11250,"(10055,10056,10057,10058,)","(0.055,0.03,0.03,0.01,)",天命竹简,11250,张碧君的专属武器
,10031,40029 ,11251,"(10055,10056,10057,10058,)","(0.01,0.05,0.05,0.075,)",指虎,11251,燕小青的专属武器
,10032,40030 ,11252,"(10055,10056,10057,10058,)","(0.035,0.025,0.025,0.045,)",鸳鸯钺,11252,要离的专属武器
,10033,40031 ,11253,"(10055,10056,10057,10058,)","(0.035,0.025,0.025,0.045,)",狼牙虎爪,11253,荆轲的专属武器
,10034,40032 ,11254,"(10055,10056,10057,10058,)","(0.035,0.025,0.025,0.045,)",户部账本,11254,南鹤的专属武器
,10035,40033 ,11255,"(10055,10056,10057,10058,)","(0.06,0.01,0.01,0.03,)",百步弓,11255,狄青剑的专属武器
,10036,40034 ,11256,"(10055,10056,10057,10058,)","(0.06,0.01,0.01,0.03,)",无双剑,11256,公孙大娘的专属武器
,10037,40035 ,11257,"(10055,10056,10057,10058,)","(0.06,0.01,0.01,0.03,)",钢鞭剑,11257,张江陵的专属武器
,10038,40036 ,11258,"(10055,10056,10057,10058,)","(0.06,0.01,0.01,0.03,)",幽壑,11258,杜少陵的专属武器
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
