交互检查规则,,,,,,,,,,
导出规则,,,,,,,,,,
分类,基础信息,,,,,,,,,
表头,掉落库ID,掉落方式,掉落库类型,掉落道具,掉落固定数量,掉落数量下限制,掉落数量上限,掉落权重,,
关键字标识,Y,,,,,,,,,
唯一标识,Y,,,,,,,,,
非空标识,Y,,,,,,,,,
检查规则,,,,,,,,,,
变量名称,id,type,kind,items,itemNum,itemNumMin,itemNumMax,props,,
变量类型,I,I,I,E,E,E,E,E,,
变量空间,cs,cs,cs,cs,cs,s,s,s,,
BEGIN,掉落库表,drop_store_data,,,,,,,,
,1,1,1,"(12000,12001,)",,"(100,200,)","(100,200,)","(5000,4000,)",,
,2,1,2,"(40016,40013,40015,40014,40012,40009,40017,40026,40028,40010,40006,)",,"(1,1,1,1,1,1,1,1,1,1,1,)","(1,1,1,1,1,1,1,1,1,1,1,)","(1000,1000,1000,1000,1000,1000,1000,1335,1335,165,165,)",,
,3,1,3,"(2,6,)",,"(1,1,)","(1,1,)","(500,9500,)",,
,4,2,1,"(10007,10007,)",,,,"(5000,5000,)",,
,5,3,1,"(10007,10000,)","(100,100,)",,,,,
,6,1,1,"(12000,12001,12002,12003,12004,12005,12006,12007,12008,12009,12010,12011,12012,12013,12014,12015,12016,12017,12018,12019,12020,12021,12022,)",,"(10,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,)","(10,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,)","(400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,600,600,600,600,)",,
官场每日俸禄,7,3,1,"(10012,10000,)","(200,10000,)",,,,,
测试掉落包,8,3,1,"(10011,10004,)","(1,50,)",,,,,
,9,3,1,"(10011,10004,)","(2,50,)",,,,,
,10,3,1,"(10011,10004,)","(3,50,)",,,,,
派系捐献奖励,11,3,1,"(10004,)","(100,)",,,,,
,12,3,1,"(10004,)","(200,)",,,,,
,13,3,1,"(10004,)","(2000,)",,,,,
,14,3,1,"(10004,)","(100,)",,,,,
,15,3,1,"(10006,10004,)","(100,100,)",,,,,
,16,3,1,"(10006,)","(100,)",,,,,
,17,3,1,"(10000,)","(10000,)",,,,,
,18,3,1,"(10000,10001,)","(10000,100,)",,,,,
,19,3,1,"(10005,)","(1000,)",,,,,
,20,3,1,"(10005,10001,)","(1000,1000,)",,,,,
,21,3,1,"(10004,)","(100,)",,,,,
悬赏测试,22,3,1,"(999,12000,10000,12004,)","(210,10,855,20,)",,,,,
,23,3,1,"(999,12000,10000,12004,)","(420,20,1710,40,)",,,,,
,24,3,1,"(999,12000,10000,12004,)","(630,30,2565,60,)",,,,,
派系任务,25,3,1,"(10011,10004,)","(1,20,)",,,,,
世界BOSS排行,26,3,1,"(31026,)","(7200,)",,,,,
,27,3,1,"(31026,)","(6600,)",,,,,
,28,3,1,"(31026,)","(6100,)",,,,,
,29,3,1,"(31026,)","(5600,)",,,,,
,30,3,1,"(31026,)","(5200,)",,,,,
,31,3,1,"(31026,)","(4800,)",,,,,
,32,3,1,"(31026,)","(4500,)",,,,,
,33,3,1,"(31026,)","(4200,)",,,,,
,34,3,1,"(31026,)","(3900,)",,,,,
,35,3,1,"(31026,)","(3700,)",,,,,
BOSS击杀奖励,36,1,1,"(31020,31021,31022,31023,)",,"(1,1,1,1,)","(1,1,1,1,)","(2500,2500,2500,2500,)",,
,37,3,1,"(31026,)","(700,)",,,,,
BOSS击杀奖励,76,1,3,"(36,35,)",,"(1,1,)","(1,1,)","(4764,5236,)",,
,77,3,1,"(12086,)","(1,)",,,,,
派系任务,38,3,1,"(10004,10005, )","(40,100,)",,,,,
,39,3,1,"(10004,10005, )","(50,100,)",,,,,
,40,3,1,"(10004,10005, )","(60,100,)",,,,,
,41,3,1,"(10004,10005, )","(70,100,)",,,,,
,42,3,1,"(10004,10005, )","(80,100,)",,,,,
,43,3,1,"(10004,10005, )","(90,100,)",,,,,
派系任务箱子,44,3,1,"(10000,10011,10004,)","(1800,1,120,)",,,,,
,45,3,1,"(10000,10011,10004,)","(2300,1,180,)",,,,,
,46,3,1,"(10000,10011,10004,)","(2800,2,240,)",,,,,
,47,3,1,"(10000,10011,10004,)","(3300,2,300,)",,,,,
,48,3,1,"(10000,10011,10004,)","(3800,3,360,)",,,,,
派系斗争,49,3,1,"(10004,)","(60,)",,,,,
,50,3,1,"(10004,)","(70,)",,,,,
,51,3,1,"(10004,)","(80,)",,,,,
,52,3,1,"(10004,)","(90,)",,,,,
,53,3,1,"(10004,)","(110,)",,,,,
,54,3,1,"(10004,)","(120,)",,,,,
,55,3,1,"(10004,)","(130,)",,,,,
,56,3,1,"(10004,)","(140,)",,,,,
,57,3,1,"(10004,)","(500,)",,,,,
,58,3,1,"(10004,)","(1000,)",,,,,
,59,3,1,"(10004,)","(1500,)",,,,,
,60,1,1,"(26001,26011,26021,26031,26041,26051,)",,"(1,1,1,1,1,1,)","(1,1,1,1,1,1,)","(1666,1666,1666,1666,1666,1670,)",,
,61,1,1,"(26061,26066,26071,26076,26166,)",,"(1,1,1,1,1,)","(1,1,1,1,1,)","(2000,2000,2000,2000,2000,)",,
经验值,62,3,1,"(999,)","(666,)",,,,,
爬塔，护符经验 小,63,3,1,"(12059,)","(1,)",,,,,
第一次单抽,64,3,2,"(40026,)","(1,)",,,,,
,65,3,1,"(10004,)","(50,)",,,,,
,66,3,1,"(10011,10004,)","(1,50,)",,,,,
,67,3,1,"(10011,10004,)","(2,50,)",,,,,
,68,3,1,"(10011,10004,)","(3,50,)",,,,,
悬赏特殊奖励,69,3,1,"(10000,)","(5500,)",,,,,
,70,3,1,"(12000,)","(6,)",,,,,
,71,3,1,"(12004,)","(16,)",,,,,
,72,3,1,"(10008,)","(21,)",,,,,
,73,3,1,"(31026,)","(574,)",,,,,
,74,3,1,"(40026,)","(1,)",,,,,
,75,3,1,"(40009,)","(1,)",,,,,
,719,3,1,"(31026,)","(860,)",,,,,
,720,3,1,"(12004,)","(50,)",,,,,
,721,3,1,"(10008,)","(32,)",,,,,
,722,3,1,"(10003,)","(60,)",,,,,
官品1,78,3,1,"(31026,31020,)","(4100,1,)",,,,,
官品2,79,3,1,"(31026,31021,)","(8100,1,)",,,,,
官品3,80,3,1,"(31026,31022,)","(12200,1,)",,,,,
官品4,81,3,1,"(31026,31023,)","(16300,1,)",,,,,
官品5,82,3,1,"(31026,12086,)","(20400,1,)",,,,,
