交互检查规则,,,,,,
导出规则,,,,,,
分类,,,,,,
表头,编号,名次区间(超过的取最后一档),掉落库UID,掉落次数,初次达到名次奖励掉落库,掉落次数
关键字标识,Y,,,,,
唯一标识,Y,,,,,
非空标识,Y,,,,,
检查规则,,,,,,
变量名称,id,ranking,dropID,dropNum,fistdropID,fistdropNum
变量类型,I,E,E,E,E,E
变量空间,cs,cs,cs,cs,cs,cs
,,,,,,
BEGIN,排名奖励表,arena_award_data,,,,
,1,"(1,1,)","(1,)","(1,)","(1,)","(1,)"
,2,"(2,2,)","(1,)","(1,)","(1,)","(1,)"
,103,"(3,3,)","(1,)","(1,)","(1,)","(1,)"
,104,"(4,4,)","(1,)","(1,)","(1,)","(1,)"
,105,"(5,5,)","(1,)","(1,)","(1,)","(1,)"
,106,"(6,10,)","(1,)","(1,)","(1,)","(1,)"
,107,"(11,50,)","(1,)","(1,)","(1,)","(1,)"
,108,"(51,100,)","(1,)","(1,)","(1,)","(1,)"
