交互检查规则,,,,,,,,,,,,
导出规则,,,,,,,,,,,,
表头,装扮编号,性别,图片id,层级,位置,属性ID,增加属性,套装类型,装扮类型,套装特效,是否反转,套装比例
关键字标识,Y,,,,,,,,,,,
唯一标识,Y,,,,,,,,,,,
非空标识,Y,,,,,,,,,,,
检查规则,,,,,,,,,,,,
变量名称,id,sex,imageId,order,location,porpertyID,porpertyValue,clothType,type,clothEffect,clothReversal,clothProportion
变量类型,I,I,E,E,E,E,E,E,I,I,I,I
变量空间,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs
,,,,,,,,,,,,
BEGIN,时装表,dress_data,,,,,,,,,,
名士风流·冠,29000,1,"(29000,)","(10,)","(1000,)",,,"(29008,)",1,,0,
名士风流·裳,29001,1,"(29001,)","(4,)","(1001,)",,,"(29008,)",2,,0,
名士风流·妆,29002,1,"(29002,)","(9,)","(1002,)",,,"(29008,)",3,,0,
名士风流·景,29003,1,"(29003,)","(9,)","(1003,)",,,,4,,0,
那时年少·冠,29004,1,"(29004,)","(10,)","(1004,)",,,"(29009,)",1,,0,
那时年少·裳,29005,1,"(29005,)","(4,)","(1005,)",,,"(29009,)",2,,0,
那时年少·妆,29006,1,"(29006,)","(9,)","(1002,)",,,"(29009,)",3,,0,
那时年少·景,29007,1,"(29007,)","(9,)","(1003,)",,,,4,,0,
名士风流套,29008,1,"(29008,)","(4,)","(1006,)",,,"(29001,29002,29000,)",5,29008,1,102
那时年少套,29009,1,"(29009,)","(4,)","(1007,)",,,"(29004,29005,29006,)",5,1001,0,96
回风流雪·冠,29500,0,"(29500,)","(10,)","(2005,)",,,"(29508,)",1,,0,
回风流雪·裳,29501,0,"(29501,)","(4,)","(2004,)",,,"(29508,)",2,,0,
回风流雪·妆,29502,0,"(29502,)","(9,)","(2002,)",,,"(29508,)",3,,0,
回风流雪·景,29503,0,"(29503,)","(9,)","(2003,)",,,,4,,0,
桃之夭夭·冠,29504,0,"(29504,)","(10,)","(2000,)",,,"(29509,)",1,,0,
桃之夭夭·裳,29505,0,"(29505,)","(4,)","(2001,)",,,"(29509,)",2,,0,
桃之夭夭·妆,29506,0,"(29506,)","(9,)","(2002,)",,,"(29509,)",3,,0,
桃之夭夭·景,29507,0,"(29507,)","(9,)","(2003,)",,,,4,,0,
回风流雪套,29508,0,"(29508,)","(4,)","(2003,)",,,"(29501,29502,29500,)",5,1000,0,99
桃之夭夭套,29509,0,"(29509,)","(4,)","(2006,)",,,"(29504,29505,29506,)",5,29509,0,115
