交互检查规则,,,,,,,,
导出规则,,,,,,,,
分类,,,,,,,,
表头,公式编号,公式名称,公式命名,自己属性,对方属性,公式类型,相关公式,公式引用
关键字标识,Y,,,,,,,
唯一标识,Y,,Y,,,,,
非空标识,Y,,Y,,,,Y,
检查规则,,,,,,,,
变量名称,sid,describe,funName,,,,formula,fmlaCite
变量类型,I,S,S,,,,S,E
变量空间,s,s,s,,,,s,s
,,,,,,,,
BEGIN,服务端公式表,s_formula_data,,,,,,
,99001,最终暴击率公式,finalCriRate,,,,o.totCri+o.bufCri-t.totDcri-t.bufDcri,
,99002,最终格挡率公式,finalParryRate,,,,o.totParry+o.bufParry-t.totDparry-t.bufDparry,
,99014,总战力公式,totalZl,,,,math.floor(o.disAtk*4.6+o.disDef*4.1+o.disDpower*4.1+o.disHp*0.25+o.disCri*1300+o.disDcri*1300+o.disFocus*517+o.disDparry*1300+o.disParry*1300+o.disTen*1300+o.disPen*1818+o.disDeHIT*4.6+o.disPreDeepen*1724+o.disEahit*4.6+o.disPreEase*1724),
,99015,物理伤害公式,PhyInjury,,,,"math.floor(((math.max(o.finalAtk-t.finalDef*(1-o.finalPen),0)+o.finalAtk*0.11)*o.skillDamegeProb+o.skillDamegeAdd+o.finalDeHIT-t.finalEahit)*(1+o.finalPreDeepen-t.finalPreEase))",
,99016,法术伤害公式,MagInjury,,,,"math.floor(((math.max(o.finalAtk-t.finalDpower*(1-o.finalPen),0)+o.finalAtk*0.11)*o.skillDamegeProb+o.skillDamegeAdd+o.finalDeHIT-t.finalEahit)*(1+o.finalPreDeepen-t.finalPreEase))",
,99017,物理暴击公式,criPhyInjury,,,,"math.floor(((math.max(o.finalAtk-t.finalDef*(1-o.finalPen),0)+o.finalAtk*0.11)*o.skillDamegeProb+o.skillDamegeAdd+o.finalDeHIT-t.finalEahit)*(1+o.finalPreDeepen-t.finalPreEase+o.criProb))",
,99018,法术暴击公式,criMagInjury,,,,"math.floor(((math.max(o.finalAtk-t.finalDpower*(1-o.finalPen),0)+o.finalAtk*0.11)*o.skillDamegeProb+o.skillDamegeAdd+o.finalDeHIT-t.finalEahit)*(1+o.finalPreDeepen-t.finalPreEase+o.criProb))",
,99019,物理格挡公式,parryPhyInjury,,,,"math.floor(((math.max(o.finalAtk-t.finalDef*(1-o.finalPen),0)+o.finalAtk*0.11)*o.skillDamegeProb+o.skillDamegeAdd+o.finalDeHIT-t.finalEahit)*(1+o.finalPreDeepen-t.finalPreEase-t.parryProb))",
,99020,法术格挡公式,parryMagInjury,,,,"math.floor(((math.max(o.finalAtk-t.finalDpower*(1-o.finalPen),0)+o.finalAtk*0.11)*o.skillDamegeProb+o.skillDamegeAdd+o.finalDeHIT-t.finalEahit)*(1+o.finalPreDeepen-t.finalPreEase-t.parryProb))",
,99301,怪物等级计算公式,calcMonsterLv,,,,lv,
,101,宴请公式,formulaA,,,,20/factionsA,
,102,拉拢,formulaB,,,,"math.max((1-factionsB/factionsC),0)",
,103,觐见,formulaC,,,,factionsE*(factionsD)*20,
,501,治疗,treatInjury,,,,o.finalAtk*o.skillDamegeProb+o.skillDamegeAdd,
