交互检查规则,,,,,,,,
导出规则,,,,,,,,
表头,编号,名称,任务描述,引用任务ID,完成奖励,派系活跃度,开启建筑等级,跳转ID
关键字标识,Y,,,,,,,
唯一标识,Y,,,,,,,
非空标识,Y,,,,,,,
检查规则,,,,,,,,
变量名称,id,name,describe,task,award,vitality,buildingLV,skip
变量类型,I,S,S,I,E,I,I,E
变量空间,cs,c,c,cs,cs,cs,cs,cs
,,,,,,,,
BEGIN,派系任务表,factions_task_data,,,,,,
,1,赠送鲜花,赠送鲜花给好友1次,50000,"(38,39,40,41,42,43,)",20,1,1008
,2,派系捐献,派系捐献5次,50001,"(38,39,40,41,42,43,)",20,1,1115
,3,派系挑战,派系挑战5次,50002,"(38,39,40,41,42,43,)",20,1,1116
,4,高手友好,与高手友好1次,50003,"(38,39,40,41,42,43,)",20,1,1117
,5,高手宴请,与高手宴请1次,50004,"(38,39,40,41,42,43,)",20,1,1117
,6,赠送体力,赠送好友体力5次,50005,"(38,39,40,41,42,43,)",20,1,1007
,7,世界聊天,世界聊天1次,50006,"(38,39,40,41,42,43,)",20,1,0
,8,派系购买,派系商店购买1次,50007,"(38,39,40,41,42,43,)",20,1,1118
,9,拜访好友庄园,拜访好友庄园1次,50008,"(38,39,40,41,42,43,)",20,1,1007
