交互检查规则,,,,
导出规则,,,,
表头,派系等级,派系人数,官员类型,官员人数
关键字标识,Y,,,
唯一标识,Y,,,
非空标识,Y,,,
检查规则,,,,
变量名称,id,number,type,typenum
变量类型,I,I,E,E
变量空间,cs,cs,cs,cs
BEGIN,派系成员表,factions_data,,
,1,45,"(1,2,3,4,5,6,)","(1,1,1,1,5,44,)"
,2,50,"(1,2,3,4,5,6,)","(1,1,1,1,8,49,)"
,3,55,"(1,2,3,4,5,6,)","(1,1,2,1,11,54,)"
,4,60,"(1,2,3,4,5,6,)","(1,1,2,2,14,59,)"
,5,65,"(1,2,3,4,5,6,)","(1,1,2,2,17,64,)"
,6,70,"(1,2,3,4,5,6,)","(1,1,2,2,20,59,)"
,7,75,"(1,2,3,4,5,6,)","(1,1,3,2,23,74,)"
,8,80,"(1,2,3,4,5,6,)","(1,1,3,3,26,79,)"
,9,85,"(1,2,3,4,5,6,)","(1,1,3,3,29,84,)"
,10,90,"(1,2,3,4,5,6,)","(1,2,3,3,32,89,)"
,11,95,"(1,2,3,4,5,6,)","(1,2,3,3,35,94,)"
,12,100,"(1,2,3,4,5,6,)","(1,2,3,3,38,99,)"
