交互检查规则,,,,,,,,,,
导出规则,,,,,,,,,,
表头,权贵编号,名称,立绘资源,头像资源,己方派系BUFF,己方阵营BUFF,敌对权贵,建筑解锁等级,初始势力,初始势力的友好度
关键字标识,Y,,,,,,,,,
唯一标识,Y,,,,,,,,,
非空标识,Y,,,,,,,,,
检查规则,,,,,,,,,,
变量名称,id,name,picture,head,factionsbuff,campbuff,hostile,limit,initial,friend
变量类型,I,S,I,S,E,E,E,I,I,I
变量空间,cs,cs,c,c,cs,cs,cs,cs,cs,cs
,,,,,,,,,,
BEGIN,派系权贵表,factions_bigwigs_data,,,,,,,,
,1,白凤,1000,1000,"(2001,)","(2017,)","(5,)",1,1,20000
,2,平山丘,1001,1001,"(2002,)","(2018,)","(6,)",1,1,20000
,3,杏林生,40014,40014,"(2003,)","(2019,)","(7,)",1,2,20000
,4,青松道人,40004,40004,"(2004,)","(2020,)","(8,)",1,2,20000
,5,白芷散人,40008,40008,"(2005,)","(2021,)","(1,)",2,3,20000
,6,长风君,40001,40001,"(2006,)","(2022,)","(2,)",2,3,20000
,7,惊玄君,40004,40004,"(2007,)","(2023,)","(3,)",3,4,20000
,8,松柏老人,40010,40010,"(2008,)","(2024,)","(4,)",3,4,20000
,9,青竹客,1000,1000,"(2009,)","(2025,)","(13,)",3,5,20000
,10,凌波仙子,40017,40017,"(2010,)","(2026,)","(14,)",4,5,20000
,11,蓬莱山主,40023,40023,"(2011,)","(2027,)","(15,)",4,6,20000
,12,血罗刹,40004,40004,"(2012,)","(2028,)","(16,)",4,6,20000
,13,璎珞女,40008,40008,"(2013,)","(2029,)","(9,)",5,7,20000
,14,萍水剑客,40009,40009,"(2014,)","(2030,)","(10,)",5,7,20000
,15,丘道人,40009,40009,"(2015,)","(2031,)","(11,)",6,8,20000
,16,落雁客,40016,40016,"(2016,)","(2032,)","(12,)",6,8,20000
