交互检查规则,,,,,,
导出规则,,,,,,
分类,,,,,,
表头,编号,消费重置,消耗类型,消耗元宝,影响值,备注
关键字标识,Y,,,,,
唯一标识,Y,,,,,
非空标识,Y,Y,Y,Y,,
检查规则,,,,,,
变量名称,id,reset,kind,consume,effect,
变量类型,I,B,I,E,I,
变量空间,cs,s,s,cs,cs,
,,,,,,
BEGIN,消耗表,consume_data,,,,
,1000,0,1,"(300,)",,改名消耗
,1001,0,1,"(10,)",,开背包消耗
,1002,0,1,"(300,)",,创建公会消耗元宝
,1003,1,2,"(0,5,10,15,20,25,30,35,40,45,)",,BOSS战元宝鼓舞消耗
,1004,0,1,"(0,300,300,300,)",,开启队列消耗元宝
,1005,0,1,"(50,)",,重置副本元宝
,1007,1,2,"(0,5,10,15,20,25,30,35,40,45,50,)",,BOSS复活
,1008,2,2,"(0,300,)",,爬塔重置消耗
,1009,2,2,"(300,)",,爬塔立即完成消耗
,1010,0,1,"(20,)",,采石场加速完成
,1011,0,1,"(100,)",,成长基金购买价格
,1012,0,1,"(100,)",,强制离婚消耗元宝
,1013,0,1,"(50,)",,和平离婚消耗元宝
,1014,0,1,"(20,)",,失踪离婚消耗元宝
