交互检查规则,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,
分类,,,,,,,,,,,,,,,
表头,id,礼包名称,礼包顺序,礼包数量,礼包内容,内容数量,是否限时,限时时间,限时时间显示,每日购买次数,等级限制,官品限制,VIP限制,购买消耗类型,购买消耗数量
关键字标识,Y,,,,,,,,,,,,,,
唯一标识,Y,,,,,,,,,,,,,,
非空标识,Y,Y,Y,Y,Y,,,,,,,,,,
检查规则,,,,,,,,,,,,,,,
变量名称,id,name,order,num,content,contentnum,limit ,timeLimit ,timeshow,openGuanka,limitlv,limitgrade,limitvip,costkind,costnum
变量类型,I,S,I,I,E,E,I,E,S,I,I,I,I,I,I
变量空间,cs,c,cs,cs,cs,cs,c,cs,c,cs,cs,cs,cs,cs,cs
,,,,,,,,,,,,,,,
BEGIN,礼包商城表,gift_shop,,,,,,,,,,,,,
,31000,限时大礼包,1,5,"(12000,12001,12002,)","(3,5,10,)",1,"(""12:00:00,12:30:00||"",)",每天12点-12点30分开始售卖,1,5,,,,
