交互检查规则,,,,
导出规则,,,,
分类,基础信息,,,
表头,等级,奖励,答对数量,答错数量
关键字标识,Y,,,
唯一标识,Y,,,
非空标识,Y,,,
检查规则,,,,
变量名称,id,award,rnum,enum
变量类型,I,E,E,E
变量空间,cs,cs,cs,cs
,,,,
BEGIN,科举每次答题奖励,kj_everyaward_data,,
,1,"(999,10000,)","(100,100,)","(50,50,)"
,2,"(999,10000,)","(200,200,)","(100,100,)"
,3,"(999,10000,)","(300,300,)","(150,150,)"
,4,"(999,10000,)","(400,400,)","(200,200,)"
,5,"(999,10000,)","(500,500,)","(250,250,)"
,6,"(999,10000,)","(600,600,)","(300,300,)"
,7,"(999,10000,)","(700,700,)","(350,350,)"
,8,"(999,10000,)","(800,800,)","(400,400,)"
,9,"(999,10000,)","(900,900,)","(450,450,)"
,10,"(999,10000,)","(1000,1000,)","(500,500,)"
,11,"(999,10000,)","(1100,1100,)","(550,550,)"
,12,"(999,10000,)","(1200,1200,)","(600,600,)"
,13,"(999,10000,)","(1300,1300,)","(650,650,)"
,14,"(999,10000,)","(1400,1400,)","(700,700,)"
,15,"(999,10000,)","(1500,1500,)","(750,750,)"
,16,"(999,10000,)","(1600,1600,)","(800,800,)"
,17,"(999,10000,)","(1700,1700,)","(850,850,)"
,18,"(999,10000,)","(1800,1800,)","(900,900,)"
,19,"(999,10000,)","(1900,1900,)","(950,950,)"
,20,"(999,10000,)","(2000,2000,)","(1000,1000,)"
,21,"(999,10000,)","(2100,2100,)","(1050,1050,)"
,22,"(999,10000,)","(2200,2200,)","(1100,1100,)"
,23,"(999,10000,)","(2300,2300,)","(1150,1150,)"
,24,"(999,10000,)","(2400,2400,)","(1200,1200,)"
,25,"(999,10000,)","(2500,2500,)","(1250,1250,)"
,26,"(999,10000,)","(2600,2600,)","(1300,1300,)"
,27,"(999,10000,)","(2700,2700,)","(1350,1350,)"
,28,"(999,10000,)","(2800,2800,)","(1400,1400,)"
,29,"(999,10000,)","(2900,2900,)","(1450,1450,)"
,30,"(999,10000,)","(3000,3000,)","(1500,1500,)"
,31,"(999,10000,)","(3100,3100,)","(1550,1550,)"
,32,"(999,10000,)","(3200,3200,)","(1600,1600,)"
,33,"(999,10000,)","(3300,3300,)","(1650,1650,)"
,34,"(999,10000,)","(3400,3400,)","(1700,1700,)"
,35,"(999,10000,)","(3500,3500,)","(1750,1750,)"
,36,"(999,10000,)","(3600,3600,)","(1800,1800,)"
,37,"(999,10000,)","(3700,3700,)","(1850,1850,)"
,38,"(999,10000,)","(3800,3800,)","(1900,1900,)"
,39,"(999,10000,)","(3900,3900,)","(1950,1950,)"
,40,"(999,10000,)","(4000,4000,)","(2000,2000,)"
,41,"(999,10000,)","(4100,4100,)","(2050,2050,)"
,42,"(999,10000,)","(4200,4200,)","(2100,2100,)"
,43,"(999,10000,)","(4300,4300,)","(2150,2150,)"
,44,"(999,10000,)","(4400,4400,)","(2200,2200,)"
,45,"(999,10000,)","(4500,4500,)","(2250,2250,)"
,46,"(999,10000,)","(4600,4600,)","(2300,2300,)"
,47,"(999,10000,)","(4700,4700,)","(2350,2350,)"
,48,"(999,10000,)","(4800,4800,)","(2400,2400,)"
,49,"(999,10000,)","(4900,4900,)","(2450,2450,)"
