交互检查规则,,,,,,,,
导出规则,,,,,,,,
分类,,,,,,,,
表头,id,称号名,获取渠道,属性id,增加属性,类型,重置,图标
关键字标识,Y,,,,,,,
唯一标识,Y,,,,,,,
非空标识,Y,,,,,,,
检查规则,,,,,,,,
变量名称,id,name,qudao,propId,propValue,type,czDay,icon
变量类型,I,S,S,E,E,I,I,S
变量空间,cs,cs,cs,cs,cs,cs,cs,cs
,,,,,,,,
BEGIN,称号表,chenghao_data,,,,,,
,90002,冠盖京华,贵族达到3级,"(10051,10052,10053,10054,)","(125,50,50,1500,)",2,1,chenghao_vip3
,90009,灵舒望月,贵族达到10级,"(10051,10052,10053,10054,10056,10057,10059,10060,10062,10063,)","(500.0,200.0,200.0,600.0,0.03,0.03,0.01,0.01,0.01,0.01,)",2,1,chenghao_vip10
,90014,惊鸿照影,贵族达到15级,"(10051,10052,10053,10054,10056,10057,10059,10060,10062,10063,)","(563.0,225.0,225.0,6750.0,0.04,0.04,0.02,0.02,0.02,0.02,)",2,1,chenghao_vip15
