交互检查规则,,,,,
导出规则,,,,,
分类,,,,,
表头,id,装备ID,强化等级,属性,属性值
关键字标识,Y,,,,
唯一标识,Y,,,,
非空标识,Y,,,,
检查规则,,,,,
变量名称,id,equipid,lv,porp,porpnum
变量类型,I,E,I,E,E
变量空间,cs,cs,cs,cs,cs
,,,,,
BEGIN,装备强化加成表,equip_qh_add_data,,,
装备强化,1001,"(11000,11001,11002,11003,)",5,"(10045,10046,10047,10048,)","(31,13,13,375,)"
,1002,"(11000,11001,11002,11003,)",10,"(10045,10046,10047,10048,)","(62,26,26,750,)"
,1003,"(11000,11001,11002,11003,)",15,"(10045,10046,10047,10048,)","(93,39,39,1125,)"
,1004,"(11000,11001,11002,11003,)",20,"(10045,10046,10047,10048,)","(124,52,52,1500,)"
,1005,"(11000,11001,11002,11003,)",25,"(10045,10046,10047,10048,)","(155,65,65,1875,)"
,1006,"(11000,11001,11002,11003,)",30,"(10045,10046,10047,10048,)","(186,78,78,2250,)"
,1007,"(11000,11001,11002,11003,)",35,"(10045,10046,10047,10048,)","(217,91,91,2625,)"
,1008,"(11000,11001,11002,11003,)",40,"(10045,10046,10047,10048,)","(248,104,104,3000,)"
,1009,"(11000,11001,11002,11003,)",45,"(10045,10046,10047,10048,)","(279,117,117,3375,)"
,1010,"(11000,11001,11002,11003,)",50,"(10045,10046,10047,10048,)","(310,130,130,3750,)"
,1011,"(11000,11001,11002,11003,)",55,"(10045,10046,10047,10048,)","(341,143,143,4125,)"
,1012,"(11000,11001,11002,11003,)",60,"(10045,10046,10047,10048,)","(372,156,156,4500,)"
,1013,"(11000,11001,11002,11003,)",65,"(10045,10046,10047,10048,)","(403,169,169,4875,)"
,1014,"(11000,11001,11002,11003,)",70,"(10045,10046,10047,10048,)","(434,182,182,5250,)"
,1015,"(11000,11001,11002,11003,)",75,"(10045,10046,10047,10048,)","(465,195,195,5625,)"
,1016,"(11000,11001,11002,11003,)",80,"(10045,10046,10047,10048,)","(496,208,208,6000,)"
,1017,"(11000,11001,11002,11003,)",85,"(10045,10046,10047,10048,)","(527,221,221,6375,)"
,1018,"(11000,11001,11002,11003,)",90,"(10045,10046,10047,10048,)","(558,234,234,6750,)"
,1019,"(11000,11001,11002,11003,)",95,"(10045,10046,10047,10048,)","(589,247,247,7125,)"
,1020,"(11000,11001,11002,11003,)",100,"(10045,10046,10047,10048,)","(620,260,260,7500,)"
,1021,"(11000,11001,11002,11003,)",105,"(10045,10046,10047,10048,)","(651,273,273,7875,)"
,1022,"(11000,11001,11002,11003,)",110,"(10045,10046,10047,10048,)","(682,286,286,8250,)"
,1023,"(11000,11001,11002,11003,)",115,"(10045,10046,10047,10048,)","(713,299,299,8625,)"
,1024,"(11000,11001,11002,11003,)",120,"(10045,10046,10047,10048,)","(744,312,312,9000,)"
,1025,"(11000,11001,11002,11003,)",125,"(10045,10046,10047,10048,)","(775,325,325,9375,)"
,1026,"(11000,11001,11002,11003,)",130,"(10045,10046,10047,10048,)","(806,338,338,9750,)"
,1027,"(11000,11001,11002,11003,)",135,"(10045,10046,10047,10048,)","(837,351,351,10125,)"
,1028,"(11000,11001,11002,11003,)",140,"(10045,10046,10047,10048,)","(868,364,364,10500,)"
,1029,"(11000,11001,11002,11003,)",145,"(10045,10046,10047,10048,)","(899,377,377,10875,)"
,1030,"(11000,11001,11002,11003,)",150,"(10045,10046,10047,10048,)","(930,390,390,11250,)"
,1031,"(11000,11001,11002,11003,)",155,"(10045,10046,10047,10048,)","(961,403,403,11625,)"
,1032,"(11000,11001,11002,11003,)",160,"(10045,10046,10047,10048,)","(992,416,416,12000,)"
,1033,"(11000,11001,11002,11003,)",165,"(10045,10046,10047,10048,)","(1023,429,429,12375,)"
,1034,"(11000,11001,11002,11003,)",170,"(10045,10046,10047,10048,)","(1054,442,442,12750,)"
,1035,"(11000,11001,11002,11003,)",175,"(10045,10046,10047,10048,)","(1085,455,455,13125,)"
,1036,"(11000,11001,11002,11003,)",180,"(10045,10046,10047,10048,)","(1116,468,468,13500,)"
,1037,"(11000,11001,11002,11003,)",185,"(10045,10046,10047,10048,)","(1147,481,481,13875,)"
,1038,"(11000,11001,11002,11003,)",190,"(10045,10046,10047,10048,)","(1178,494,494,14250,)"
,1039,"(11000,11001,11002,11003,)",195,"(10045,10046,10047,10048,)","(1209,507,507,14625,)"
,1040,"(11000,11001,11002,11003,)",200,"(10045,10046,10047,10048,)","(1240,520,520,15000,)"
,1041,"(11004,11005,11006,11007,)",5,"(10045,10046,10047,10048,)","(31,13,13,375,)"
,1042,"(11004,11005,11006,11007,)",10,"(10045,10046,10047,10048,)","(62,26,26,750,)"
,1043,"(11004,11005,11006,11007,)",15,"(10045,10046,10047,10048,)","(93,39,39,1125,)"
,1044,"(11004,11005,11006,11007,)",20,"(10045,10046,10047,10048,)","(124,52,52,1500,)"
,1045,"(11004,11005,11006,11007,)",25,"(10045,10046,10047,10048,)","(155,65,65,1875,)"
,1046,"(11004,11005,11006,11007,)",30,"(10045,10046,10047,10048,)","(186,78,78,2250,)"
,1047,"(11004,11005,11006,11007,)",35,"(10045,10046,10047,10048,)","(217,91,91,2625,)"
,1048,"(11004,11005,11006,11007,)",40,"(10045,10046,10047,10048,)","(248,104,104,3000,)"
,1049,"(11004,11005,11006,11007,)",45,"(10045,10046,10047,10048,)","(279,117,117,3375,)"
,1050,"(11004,11005,11006,11007,)",50,"(10045,10046,10047,10048,)","(310,130,130,3750,)"
,1051,"(11004,11005,11006,11007,)",55,"(10045,10046,10047,10048,)","(341,143,143,4125,)"
,1052,"(11004,11005,11006,11007,)",60,"(10045,10046,10047,10048,)","(372,156,156,4500,)"
,1053,"(11004,11005,11006,11007,)",65,"(10045,10046,10047,10048,)","(403,169,169,4875,)"
,1054,"(11004,11005,11006,11007,)",70,"(10045,10046,10047,10048,)","(434,182,182,5250,)"
,1055,"(11004,11005,11006,11007,)",75,"(10045,10046,10047,10048,)","(465,195,195,5625,)"
,1056,"(11004,11005,11006,11007,)",80,"(10045,10046,10047,10048,)","(496,208,208,6000,)"
,1057,"(11004,11005,11006,11007,)",85,"(10045,10046,10047,10048,)","(527,221,221,6375,)"
,1058,"(11004,11005,11006,11007,)",90,"(10045,10046,10047,10048,)","(558,234,234,6750,)"
,1059,"(11004,11005,11006,11007,)",95,"(10045,10046,10047,10048,)","(589,247,247,7125,)"
,1060,"(11004,11005,11006,11007,)",100,"(10045,10046,10047,10048,)","(620,260,260,7500,)"
