交互检查规则,,,,,,,,,,,,
导出规则,,,,,,,,,,,,
分类,,,,,,,,,,,,
表头,编号,对话内容,对话人物,对话人物名称,正在说话人物,下个对话,人物站位,位置偏移值,配音ID,场景,是否震屏 0）否 1）是,镜头初始位置（镜头中心点）
关键字标识,Y,,,,,,,,,,,
唯一标识,Y,,,,,,,,,,,
非空标识,Y,,,,,,,,,,,
检查规则,,,,,,,,,,,,
变量名称,id,talk,char,name,talking,next,stance,dpos,dub,sense,shock,initial
变量类型,I,S,E,S,I,E,E,E,I,I,I,I
变量空间,c,c,c,c,c,c,c,c,c,c,c,c
,,,,,,,,,,,,
BEGIN,通用剧情表,common_talk_data,,,,,,,,,,
每日奖励,1,见过祭司。,"(40001,)",长雍君,40001,"(2,)","(2,)","(-356,)",10000,1,,
,2,昨夜天璇星大炽，没想到是应在了你的身上。,"(40001,)",长雍君,40001,"(3,)","(1,)","(-356,)",10000,1,,
,3,祭司说笑了。我有何德何能高居天璇之位？,"(40001,)",玩家,-1,"(4,)","(1,3,)","(-356,-356,)",10000,1,,
,4,星象一道，变幻莫测。数年前你不过是天璇周围一颗辅星，数年后你已然是天璇主星。,"(40001,)",长雍君,40001,"(5,)","(1,3,)","(-356,-356,)",10000,1,,
,5,祭司可是说，人力可胜天意？,"(40001,)",玩家,-1,"(6,)","(1,3,)","(-356,-356,)",10000,1,,
,6,谁说不是呢……,"(40001,)",长雍君,40001,,"(2,)","(-356,)",10000,1,,
,7,你是猪吗？,"(1501,)",,,"(8,)","(2,)","(-356,)",10000,,,
,8,你才是猪,"(1501,)",,-1,"(9,)","(1,)","(-356,)",10000,,,
,9,你全家是猪,"(1501,)",,,"(10,)","(1,3,)","(-356,-356,)",10000,,,
,10,你们打一架吧,"(1501,)",白侍郎,1501,,"(1,3,)","(-356,-356,)",10000,,,
,11,嘿嘿，这大小姐突然就回家了，这下可有好戏看了。,"(5008,5015,)",秋花,5008,"(12,)","(1,3,)","(-309,-356,)",10000,1100,,
,12,谁说不是呢，就夫人那样，啧啧……,"(5008,5015,)",夏侍卫,5015,"(13,)","(1,3,)","(-309,-356,)",10000,1100,,
,13,这两母女说母女不是母女，早晚要斗起来。,"(5008,5015,)",秋花,5008,,"(1,3,)","(-309,-356,)",10000,1100,,
,14,这府中当然是我们夫人说了算！,"(5006,)",春雨,5006,,"(2,)","(-309,)",10000,1100,,
,15,大小姐什么时候回来呢……,"(40021,)",青湖,40021,,"(2,)","(-309,)",10000,1100,,
,16,自从柳太太入府，逼得小姐外出求学数年不得归……要是太太知道了还不知道如何伤心呢！,"(40021,)",青湖,40021,,"(2,)","(-309,)",10000,1100,,
,17,君埋泉下泥销骨，我寄人间雪满头。\n你问我？呵呵……这是一个很长的故事……,"(40022,)",路人甲,40022,,"(2,)","(-356,)",10000,1100,,
,18,知君仙骨无寒暑，千载相逢犹旦暮。,"(40022,)",路人甲,40022,,"(2,)","(-356,)",10000,1100,,
,19,我悄悄跟你讲，我们南府啊……有鬼。,"(5011,)",杏华,5011,"(20,)","(2,)","(-309,)",10000,1100,,
,20,那一日我出来起夜，只见那树上唰唰唰闪过去七道黑影，树底下还扔了七八个酒坛子，真是吓死人了。,"(5011,)",杏华,5011,,"(2,)","(-309,)",10000,1100,,
,21,柳太太虽是个妇道人家，手段却着实厉害得紧。,"(40028,)",王管家,40028,,"(2,)","(-356,)",10000,1101,,
,22,柳太太是大太太的表妹，万万没想到大太太一走，柳太太便进了门。\n老爷原本可是想娶大太太的庶妹的。,"(40028,)",王管家,40028,,"(2,)","(-356,)",10000,1101,,
,23,我与老爷是天作之合，若不是生得晚了些，怎么会成了小妇！,"(40018,)",柳夫人,40018,,"(2,)","(-309,)",10000,1100,,
,24,府中，还是且朝与且暮听话懂事……\n至于大小姐，我可管不着！,"(40018,)",柳夫人,40018,,"(2,)","(-309,)",10000,1100,,
,25,看什么看！我们南府……\n是、是你们这种人能随便来去的吗？！,"(5016,)",南府门人,5016,,"(2,)","(-356,)",10000,1100,,
,26,你、你别过来……\n不然，不然我可喊人了！,"(5006,)",南府仆人,5006,,"(2,)","(-309,)",10000,1100,,
,27,小姐表面装得一副清高模样，可手段比太太还要狠上许多……\n你、你是谁，咿呀！我刚刚什么都没有说！,"(5006,)",南府仆人,5006,,"(2,)","(-309,)",10000,1100,,
,28,公子，可还有什么奴婢能帮得上忙的事情？,"(40021,)",青湖,40021,,"(2,)","(-309,)",10000,1100,,
,29,大太太早逝，老爷又因罪入狱。\n如今柳太太仗势欺人，大小姐过得委实太苦了……,"(40021,)",青湖,40021,,"(2,)","(-309,)",10000,1100,,
,30,哎，还好府内有大小姐撑着。\n这危难时分，想要倚仗柳太太可不是高明之策……,"(40028,)",南家主事,40028,,"(2,)","(-356,)",10000,1100,,
,31,嗯？公子可还有事？,"(40028,)",南家主事,40028,,"(2,)","(-356,)",10000,1100,,
,32,公子，前方似有人出没，还请小心。,"(40008,)",承影,40008,,"(2,)","(-356,)",10000,1101,,
,33,风雪甚大，公子注意脚下，莫要受了伤。,"(40008,)",承影,40008,,"(2,)","(-356,)",10000,1101,,
,34,且朝小姐虽然温柔解意，但如此危难时刻，温柔解意又有什么用呢？,"(40033,)",侍卫,40033,,"(2,)","(-356,)",10000,1101,,
,35,小姐，可有何吩咐？,"(40008,)",承影,40008,,"(2,)","(-356,)",10000,1101,,
,36,主子曾有吩咐，若他有所不测，南府以大小姐为尊。,"(40008,)",承影,40008,,"(2,)","(-356,)",10000,1101,,
,37,天有不测风云，人有旦夕祸福。,"(40024,)",雁北归,40024,,"(2,)","(-356,)",10000,1101,,
,38,臣拜见陛下。,,玩家,-1,"(39,)",,,,,,
,39,起。,"(40000,)",姬长生,40000,"(40,)","(2,)","(-356,)",10000,,,
,40,谢陛下。,"(40000,)",玩家,-1,"(41,)","(2,)","(-356,)",10000,,,
,41,今日我见雨过天青，便猜到卿要来见朕。,"(40000,)",姬长生,40000,"(42,)","(2,)","(-356,)",10000,,,
,42,陛下因何而知？,"(40000,)",玩家,-1,"(43,)","(2,)","(-356,)",10000,,,
,43,因为只有这段时候，太液池的景色才是最美。,"(40000,)",姬长生,40000,"(44,)","(2,)","(-356,)",10000,,,
,44,……陛下您慧眼如炬。,"(40000,)",玩家,-1,"(45,)","(2,)","(-356,)",10000,,,
,45,什么时候卿要是不为了这一池美景，也能来见朕就好了。,"(40000,)",姬长生,40000,,"(2,)","(-356,)",10000,,,
