交互检查规则,,,,,,,,
导出规则,,,,,,,,
表头,矿石类型,名称,图,采石场等级,时间,产出,掉落库数量,
关键字标识,Y,,,,,,,
唯一标识,Y,,,,,,,
非空标识,Y,,,,,,,
检查规则,,,,,,,,
变量名称,id,name,item,stonelv,time,output,vowmul,
变量类型,I,S,E,E,E,E,E,
变量空间,cs,cs,cs,cs,cs,cs,cs,
,,,,,,,,
BEGIN,采石场表,stone_data,,,,,,
,1,石矿1级,"(12006,)",1,"(1800,3600,7200,)","((501,),(501,),(501,),)","((4,),(4,),(4,),)",
,2,石矿2级,"(12006,12007,)",2,"(1800,3600,7200,)","((501,502,),(501,502,),(501,502,),)","((5,5,),(5,5,),(5,5,),)",
,3,石矿3级,"(12006,12007,12008,)",3,"(1800,3600,7200,)","((501,502,503,),(501,502,503,),(501,502,503,),)","((6,6,6,),(6,6,6,),(6,6,6,),)",
,4,石矿4级,"(12006,12007,12008,12009,)",4,"(1800,3600,7200,)","((501,502,503,504,),(501,502,503,504,),(501,502,503,504,),)","((7,7,7,7,),(7,7,7,7,),(7,7,7,7,),)",
,5,石矿5级,"(12006,12007,12008,12009,12010,)",5,"(1800,3600,7200,)","((501,502,503,504,505,),(501,502,503,504,505,),(501,502,503,504,505,),)","((8,8,8,8,8,),(8,8,8,8,8,),(8,8,8,8,8,),)",
,6,石矿6级,"(12006,12007,12008,12009,12010,12011,)",6,"(1800,3600,7200,)","((501,502,503,504,505,506,),(501,502,503,504,505,506,),(501,502,503,504,505,506,),)","((9,9,9,9,9,9,),(9,9,9,9,9,9,),(9,9,9,9,9,9,),)",
,7,石矿7级,"(12006,12007,12008,12009,12010,12011,12012,)",7,"(1800,3600,7200,)","((501,502,503,504,505,506,507,),(501,502,503,504,505,506,507,),(501,502,503,504,505,506,507,),)","((10,10,10,10,10,10,10,),(10,10,10,10,10,10,10,),(10,10,10,10,10,10,10,),)",
,8,石矿8级,"(12006,12007,12008,12009,12010,12011,12012,12013,)",8,"(1800,3600,7200,)","((501,502,503,504,505,506,507,508,),(501,502,503,504,505,506,507,508,),(501,502,503,504,505,506,507,508,),)","((11,11,11,11,11,11,11,11,),(11,11,11,11,11,11,11,11,),(11,11,11,11,11,11,11,11,),)",
,9,石矿9级,"(12006,12007,12008,12009,12010,12011,12012,12013,12014,)",9,"(1800,3600,7200,)","((501,502,503,504,505,506,507,508,509,),(501,502,503,504,505,506,507,508,509,),(501,502,503,504,505,506,507,508,509,),)","((12,12,12,12,12,12,12,12,12,),(12,12,12,12,12,12,12,12,12,),(12,12,12,12,12,12,12,12,12,),)",
,10,石矿10级,"(12006,12007,12008,12009,12010,12011,12012,12013,12014,12015,)",10,"(1800,3600,7200,)","((501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),)","((13,13,13,13,13,13,13,13,13,13,),(13,13,13,13,13,13,13,13,13,13,),(13,13,13,13,13,13,13,13,13,13,),)",
,11,石矿11级,"(12006,12007,12008,12009,12010,12011,12012,12013,12014,12015,)",11,"(1800,3600,7200,)","((501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),)","((14,14,14,14,14,14,14,14,14,14,),(14,14,14,14,14,14,14,14,14,14,),(14,14,14,14,14,14,14,14,14,14,),)",
,12,石矿12级,"(12006,12007,12008,12009,12010,12011,12012,12013,12014,12015,)",12,"(1800,3600,7200,)","((501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),)","((15,15,15,15,15,15,15,15,15,15,),(15,15,15,15,15,15,15,15,15,15,),(15,15,15,15,15,15,15,15,15,15,),)",
,13,石矿13级,"(12006,12007,12008,12009,12010,12011,12012,12013,12014,12015,)",13,"(1800,3600,7200,)","((501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),)","((16,16,16,16,16,16,16,16,16,16,),(16,16,16,16,16,16,16,16,16,16,),(16,16,16,16,16,16,16,16,16,16,),)",
,14,石矿14级,"(12006,12007,12008,12009,12010,12011,12012,12013,12014,12015,)",14,"(1800,3600,7200,)","((501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),)","((17,17,17,17,17,17,17,17,17,17,),(17,17,17,17,17,17,17,17,17,17,),(17,17,17,17,17,17,17,17,17,17,),)",
,15,石矿15级,"(12006,12007,12008,12009,12010,12011,12012,12013,12014,12015,)",15,"(1800,3600,7200,)","((501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),)","((18,18,18,18,18,18,18,18,18,18,),(18,18,18,18,18,18,18,18,18,18,),(18,18,18,18,18,18,18,18,18,18,),)",
,16,石矿16级,"(12006,12007,12008,12009,12010,12011,12012,12013,12014,12015,)",16,"(1800,3600,7200,)","((501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),)","((19,19,19,19,19,19,19,19,19,19,),(19,19,19,19,19,19,19,19,19,19,),(19,19,19,19,19,19,19,19,19,19,),)",
,17,石矿17级,"(12006,12007,12008,12009,12010,12011,12012,12013,12014,12015,)",17,"(1800,3600,7200,)","((501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),)","((20,20,20,20,20,20,20,20,20,20,),(20,20,20,20,20,20,20,20,20,20,),(20,20,20,20,20,20,20,20,20,20,),)",
,18,石矿18级,"(12006,12007,12008,12009,12010,12011,12012,12013,12014,12015,)",18,"(1800,3600,7200,)","((501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),)","((21,21,21,21,21,21,21,21,21,21,),(21,21,21,21,21,21,21,21,21,21,),(21,21,21,21,21,21,21,21,21,21,),)",
,19,石矿19级,"(12006,12007,12008,12009,12010,12011,12012,12013,12014,12015,)",19,"(1800,3600,7200,)","((501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),(501,502,503,504,505,506,507,508,509,510,),)","((22,22,22,22,22,22,22,22,22,22,),(22,22,22,22,22,22,22,22,22,22,),(22,22,22,22,22,22,22,22,22,22,),)",
