交互检查规则,,,,,,,,,
导出规则,,,,,,,,,
分类,,,,,,,,,
表头,id,阵法,阵法书道具,开启阵位,阵法等级,升级需要消耗道具,升级需要道具数量,属性id,增加属性
关键字标识,Y,,,,,,,,
唯一标识,Y,,,,,,,,
非空标识,Y,,,Y,,,,,
检查规则,,,,,,,,,
变量名称,id,zfName,zfItemId,openPosition,lv,itemId,itemNum,propId,propValue
变量类型,I,I,I,E,I,E,E,E,E
变量空间,cs,cs,cs,cs,cs,cs,cs,cs,cs
,,,,,,,,,
BEGIN,阵法表,zhenfa_data,,,,,,,
北斗七星阵,1001,31000,31020,"(1,2,3,4,5,6,)",1,"(31026,)","(250,)","(10045,10045,10045,10045,10045,10045,)","(27,27,27,27,27,27,)"
,1002,31000,31020,"(1,2,3,4,5,6,)",2,"(31026,)","(400,)","(10045,10045,10045,10045,10045,10045,)","(54,54,54,54,54,54,)"
,1003,31000,31020,"(1,2,3,4,5,6,)",3,"(31026,)","(650,)","(10045,10045,10045,10045,10045,10045,)","(81,81,81,81,81,81,)"
,1004,31000,31020,"(1,2,3,4,5,6,)",4,"(31026,)","(1000,)","(10045,10045,10045,10045,10045,10045,)","(108,108,108,108,108,108,)"
,1005,31000,31020,"(1,2,3,4,5,6,)",5,"(31026,)","(1470,)","(10045,10045,10045,10045,10045,10045,)","(135,135,135,135,135,135,)"
,1006,31000,31020,"(1,2,3,4,5,6,)",6,"(31026,)","(2020,)","(10045,10045,10045,10045,10045,10045,)","(162,162,162,162,162,162,)"
,1007,31000,31020,"(1,2,3,4,5,6,)",7,"(31026,)","(2670,)","(10045,10045,10045,10045,10045,10045,)","(189,189,189,189,189,189,)"
,1008,31000,31020,"(1,2,3,4,5,6,)",8,"(31026,)","(3420,)","(10045,10045,10045,10045,10045,10045,)","(216,216,216,216,216,216,)"
,1009,31000,31020,"(1,2,3,4,5,6,)",9,"(31026,)","(4270,)","(10045,10045,10045,10045,10045,10045,)","(243,243,243,243,243,243,)"
,1010,31000,31020,"(1,2,3,4,5,6,)",10,"(31026,)","(5240,)","(10045,10045,10045,10045,10045,10045,)","(270,270,270,270,270,270,)"
,1011,31000,31020,"(1,2,3,4,5,6,)",11,"(31026,)","(6290,)","(10045,10045,10045,10045,10045,10045,)","(297,297,297,297,297,297,)"
,1012,31000,31020,"(1,2,3,4,5,6,)",12,"(31026,)","(7440,)","(10045,10045,10045,10045,10045,10045,)","(324,324,324,324,324,324,)"
,1013,31000,31020,"(1,2,3,4,5,6,)",13,"(31026,)","(8690,)","(10045,10045,10045,10045,10045,10045,)","(351,351,351,351,351,351,)"
,1014,31000,31020,"(1,2,3,4,5,6,)",14,"(31026,)","(10040,)","(10045,10045,10045,10045,10045,10045,)","(378,378,378,378,378,378,)"
,1015,31000,31020,"(1,2,3,4,5,6,)",15,"(31026,)","(11510,)","(10045,10045,10045,10045,10045,10045,)","(405,405,405,405,405,405,)"
,1016,31000,31020,"(1,2,3,4,5,6,)",16,"(31026,)","(13060,)","(10045,10045,10045,10045,10045,10045,)","(432,432,432,432,432,432,)"
,1017,31000,31020,"(1,2,3,4,5,6,)",17,"(31026,)","(14710,)","(10045,10045,10045,10045,10045,10045,)","(459,459,459,459,459,459,)"
,1018,31000,31020,"(1,2,3,4,5,6,)",18,"(31026,)","(16460,)","(10045,10045,10045,10045,10045,10045,)","(486,486,486,486,486,486,)"
,1019,31000,31020,"(1,2,3,4,5,6,)",19,"(31026,)","(18310,)","(10045,10045,10045,10045,10045,10045,)","(513,513,513,513,513,513,)"
,1020,31000,31020,"(1,2,3,4,5,6,)",20,"(31026,)","(20280,)","(10045,10045,10045,10045,10045,10045,)","(540,540,540,540,540,540,)"
,1021,31000,31020,"(1,2,3,4,5,6,)",21,"(31026,)","(22330,)","(10045,10045,10045,10045,10045,10045,)","(567,567,567,567,567,567,)"
,1022,31000,31020,"(1,2,3,4,5,6,)",22,"(31026,)","(24480,)","(10045,10045,10045,10045,10045,10045,)","(594,594,594,594,594,594,)"
,1023,31000,31020,"(1,2,3,4,5,6,)",23,"(31026,)","(26730,)","(10045,10045,10045,10045,10045,10045,)","(621,621,621,621,621,621,)"
,1024,31000,31020,"(1,2,3,4,5,6,)",24,"(31026,)","(29080,)","(10045,10045,10045,10045,10045,10045,)","(648,648,648,648,648,648,)"
,1025,31000,31020,"(1,2,3,4,5,6,)",25,"(31026,)","(31550,)","(10045,10045,10045,10045,10045,10045,)","(675,675,675,675,675,675,)"
,1026,31000,31020,"(1,2,3,4,5,6,)",26,"(31026,)","(34100,)","(10045,10045,10045,10045,10045,10045,)","(702,702,702,702,702,702,)"
,1027,31000,31020,"(1,2,3,4,5,6,)",27,"(31026,)","(36750,)","(10045,10045,10045,10045,10045,10045,)","(729,729,729,729,729,729,)"
,1028,31000,31020,"(1,2,3,4,5,6,)",28,"(31026,)","(39500,)","(10045,10045,10045,10045,10045,10045,)","(756,756,756,756,756,756,)"
,1029,31000,31020,"(1,2,3,4,5,6,)",29,"(31026,)","(42350,)","(10045,10045,10045,10045,10045,10045,)","(783,783,783,783,783,783,)"
,1030,31000,31020,"(1,2,3,4,5,6,)",30,"(31026,)","(45320,)","(10045,10045,10045,10045,10045,10045,)","(810,810,810,810,810,810,)"
,1031,31000,31020,"(1,2,3,4,5,6,)",31,"(31026,)","(48370,)","(10045,10045,10045,10045,10045,10045,)","(837,837,837,837,837,837,)"
,1032,31000,31020,"(1,2,3,4,5,6,)",32,"(31026,)","(51520,)","(10045,10045,10045,10045,10045,10045,)","(864,864,864,864,864,864,)"
,1033,31000,31020,"(1,2,3,4,5,6,)",33,"(31026,)","(54770,)","(10045,10045,10045,10045,10045,10045,)","(891,891,891,891,891,891,)"
,1034,31000,31020,"(1,2,3,4,5,6,)",34,"(31026,)","(58120,)","(10045,10045,10045,10045,10045,10045,)","(918,918,918,918,918,918,)"
,1035,31000,31020,"(1,2,3,4,5,6,)",35,"(31026,)","(61590,)","(10045,10045,10045,10045,10045,10045,)","(945,945,945,945,945,945,)"
,1036,31000,31020,"(1,2,3,4,5,6,)",36,"(31026,)","(65140,)","(10045,10045,10045,10045,10045,10045,)","(972,972,972,972,972,972,)"
,1037,31000,31020,"(1,2,3,4,5,6,)",37,"(31026,)","(68790,)","(10045,10045,10045,10045,10045,10045,)","(999,999,999,999,999,999,)"
