交互检查规则,,,,,,,,,,,,
导出规则,,,,,,,,,,,,
表头,花编号,鲜花名,序列,鲜花等级,开放等级,飘花粒子,魅力值,友好度,武将友好度,飘花方向,文件个数,粒子0骨骼1骨骼粒子2
关键字标识,Y,,,,,,,,,,,
唯一标识,Y,,,,,,,,,,,
非空标识,Y,,,,,,,,,,,
检查规则,,,,,,,,,,,,
变量名称,id,name,xl,subKind,lv,particles,flowerCharm,intimacyn,intimacyn2,directionType,fileNum,type
变量类型,I,S,I,I,I,S,I,I,I,I,I,I
变量空间,cs,cs,c,cs,cs,cs,cs,cs,cs,cs,cs,cs
,,,,,,,,,,,,
BEGIN,鲜花表,flower_arrangement_data,,,,,,,,,,
,24000,山茶花,1,1,1,24000,499,499,10,4,2,0
,24001,满天星,1,1,1,24001,499,499,10,4,2,0
,24002,傲雪寒梅,1,2,1,24002,499,499,10,4,2,2
,24003,凤穿牡丹,1,3,1,24001,499,499,10,4,1,1
,24004,丹桂飘香,1,4,1,24002,499,499,10,4,3,2
,24005,墨染幽兰,1,4,1,24002,499,499,10,4,2,2
